,Unnamed: 0.1,Unnamed: 0,epsW_sonic1,MAD_value_1,MAD_criteria_met_1,epsW_sonic2,MAD_value_2,MAD_criteria_met_2,epsW_sonic3,MAD_value_3,MAD_criteria_met_3,epsW_sonic4,MAD_value_4,MAD_criteria_met_4,epsW_sonic1_MAD,epsW_sonic2_MAD,epsW_sonic3_MAD,epsW_sonic4_MAD
10,10,10,0.0022573694061153,0.1345528154106735,True,0.0009061089857833,0.1429271268692683,True,0.0007988665180312,0.1611873460625559,True,0.0006280255012848,0.2082440468972405,True,0.0022573694061153,0.0009061089857833,0.0007988665180312,0.0006280255012848
11,11,11,0.0023211805081757,0.1442247925767072,True,0.00100772480513,0.1501334292335351,True,0.0008915606778769,0.1409880280791828,True,0.0007172887450753,0.1936127323319835,True,0.0023211805081757,0.00100772480513,0.0008915606778769,0.0007172887450753
12,12,12,0.0016406502523058,0.1411859599398069,True,0.0007235285982981,0.1407272970517323,True,0.0006010109598515,0.1557393514217254,True,0.0006125063195402,0.198445648778076,True,0.0016406502523058,0.0007235285982981,0.0006010109598515,0.0006125063195402
13,13,13,0.0022860709334171,0.1388302985189606,True,0.0008375759752632,0.1416102618651456,True,0.0006070570668217,0.1520609579605593,True,0.0005552596540124,0.2009317330538888,True,0.0022860709334171,0.0008375759752632,0.0006070570668217,0.0005552596540124
14,14,14,0.0013836117350442,0.147162117407555,True,0.0005694597135356,0.1709866380521926,True,0.0004782017513216,0.1637255080311688,True,0.0004860265609965,0.1970528014505445,True,0.0013836117350442,0.0005694597135356,0.0004782017513216,0.0004860265609965
15,15,15,0.0010384012836872,0.174164590741593,True,0.0003667817892972,0.1635499874143003,True,0.0003378656984262,0.1472199081494484,True,0.000272622416606,0.1936535659649483,True,0.0010384012836872,0.0003667817892972,0.0003378656984262,0.000272622416606
16,16,16,0.0001592892725509,0.2175561767383408,True,8.808782592177287e-05,0.2140630482044419,True,9.59821222870146e-05,0.1782695011861918,True,0.000104359565913,0.2170428005760954,True,0.0001592892725509,8.808782592177287e-05,9.59821222870146e-05,0.000104359565913
17,17,17,6.228663527665381e-05,0.2857938551217753,True,5.300656539455353e-05,0.4592902633724497,True,4.747391919131917e-05,0.1481812019305069,True,5.88513410991537e-05,0.2503255873574358,True,6.228663527665381e-05,5.300656539455353e-05,4.747391919131917e-05,5.88513410991537e-05
18,18,18,3.934958946179013e-05,0.1628073856360878,True,1.3381788643444863e-05,0.1769741210482396,True,9.335970517485948e-06,0.157331924584999,True,1.905094108445885e-05,0.1944216645625521,True,3.934958946179013e-05,1.3381788643444863e-05,9.335970517485948e-06,1.905094108445885e-05
19,19,19,0.0003139050968977,0.1592534364642021,True,8.153457713443351e-05,0.177800795830277,True,4.5758056528277886e-05,0.1758917125222889,True,7.884075454714034e-05,0.2348685683286921,True,0.0003139050968977,8.153457713443351e-05,4.5758056528277886e-05,7.884075454714034e-05
20,20,20,0.0004386488431126,0.1541749556428784,True,0.0001373616009474,0.1602362064802013,True,8.190944251849928e-05,0.1607373125009071,True,0.0001230896039103,0.1823848451801071,True,0.0004386488431126,0.0001373616009474,8.190944251849928e-05,0.0001230896039103
21,21,21,0.0009014614515422,0.1445882509896898,True,0.0002946155316697,0.1779752857708082,True,0.0001891134228709,0.152279032559607,True,0.0002009316939138,0.1852883181025107,True,0.0009014614515422,0.0002946155316697,0.0001891134228709,0.0002009316939138
22,22,22,0.0006894255602666,0.1646488852589589,True,0.0002874358474308,0.1668346581647928,True,0.0001876931634331,0.1638356779166306,True,0.0002233793076455,0.2173046885390138,True,0.0006894255602666,0.0002874358474308,0.0001876931634331,0.0002233793076455
23,23,23,0.0005638361737635,0.1446913692640402,True,0.0002508282328068,0.1676433427984533,True,0.0001908001094805,0.1697412765656669,True,0.0001878261212486,0.2580794104052291,True,0.0005638361737635,0.0002508282328068,0.0001908001094805,0.0001878261212486
24,24,24,0.0012286611641008,0.1541938153944479,True,0.0007387014714941,0.159335301983823,True,0.0005443888045709,0.1821070036993178,True,0.0008198191462195,0.2070356778927095,True,0.0012286611641008,0.0007387014714941,0.0005443888045709,0.0008198191462195
25,25,25,0.0014480045351223,0.1468342149412434,True,0.000710943807072,0.1659936981019626,True,0.0004390975157579,0.1951452523000766,True,0.0005411673096805,0.2209066639576294,True,0.0014480045351223,0.000710943807072,0.0004390975157579,0.0005411673096805
