,UpWp_bar_s1,UpWp_bar_s2,UpWp_bar_s3,UpWp_bar_s4
77,-0.079184419327944,-0.0703413404960432,-0.0717073523193931,-0.0761678576629434
78,-0.0913943346450898,-0.0819279834515692,-0.0773711535756429,-0.0818471293202756
79,-0.0880391177466309,-0.0860186970420231,-0.0806011918271202,-0.0826030600014148
80,-0.0875320549051027,-0.0748298340182447,-0.0754927223912161,-0.0700521043821595
81,-0.1124449060064507,-0.0920235472735502,-0.0867996519555212,-0.0945858883188019
82,-0.1921095142723244,-0.1581928015801603,-0.1694829376083609,-0.1532800305787308
83,-0.2160189459214061,-0.1777645877407753,-0.1849738018721855,-0.0910827447365905
84,-0.1795822227500066,-0.1497951360878564,-0.1443528729016431,-0.1442329225159963
85,-0.1387395930361161,-0.1061393762186873,-0.1103971416586923,-0.0862332067440393
86,-0.0872200303444606,-0.0684709900026034,-0.0807927979210643,-0.0875796011543791
87,-0.165721388935095,-0.1310122070910012,-0.1409736388421991,-0.0835105966870709
88,-0.1943837188314328,-0.1837595271109005,-0.0825408827804758,-0.084418133372727
89,-0.2228779455594846,-0.1793358610692009,-0.0839604725054909,-0.084418133372727
90,-0.2197382377668066,-0.1834902297658296,-0.1825911016452654,-0.084418133372727
91,-0.1211600725463505,-0.0912296980554614,-0.0909774135445716,-0.0773285966873706
92,-0.0978145482657236,-0.0837287662551124,-0.0811212930554608,-0.0747332988472577
93,-0.0609528190581011,-0.0468838790963375,-0.0353373866777228,-0.0243350989693174
94,-0.0564636277003551,-0.0488836244822539,-0.0503337059226123,-0.0408473062742498
95,-0.0868054959367966,-0.0790784929723821,-0.0759139370236306,-0.0583571742948529
96,-0.0617357091635357,-0.0567706467079505,-0.0597522230767673,-0.0634269704713975
97,-0.0685017382834358,-0.0582493081780762,-0.0657865172343807,-0.0569930101029026
98,-0.0827720795376885,-0.0706743427354857,-0.0706893797379332,-0.0744447251304983
99,-0.0998883369071295,-0.08526190498635,-0.0877824389111383,-0.1002862087171458
100,-0.1223392071865668,-0.1104399494422419,-0.1177581947007511,-0.110875776755958
101,-0.1364663458456022,-0.135826691153603,-0.1306024399560695,-0.1259548062222379
102,-0.1487865966730338,-0.1294550085413015,-0.1247848793517908,-0.1458475044126178
103,-0.1485987497893959,-0.1226061082397723,-0.1267188102771999,-0.1406456818719582
104,-0.1606291729715148,-0.1414859015371354,-0.1557851956719892,-0.1624932285318584
105,-0.1961657562712089,-0.1671501016813464,-0.1796913948144269,-0.1933233814106409
106,-0.2149068626771031,-0.1958317855882541,-0.2232966905597602,-0.2138931491841061
107,-0.1900934778417928,-0.1685567469872743,-0.1717279744925043,-0.1902229953783863
108,-0.2145531649522811,-0.1899068141666684,-0.1807314973892755,-0.2211699672646245
109,-0.2240429355036542,-0.1942474486125215,-0.2179401121336577,-0.2170919844949657
110,-0.2606549021477782,-0.2037216320672004,-0.2182885674310756,-0.2280334719944698
111,-0.2136656875929366,-0.1751341605429567,-0.1818574794213199,-0.1768254344776836
112,-0.147008703754616,-0.1326219752163213,-0.1475409348537195,-0.1435394376623418
113,-0.1694946425974227,-0.1533681220802341,-0.1656689534958488,-0.1604442815365496
