,index,epsW_sonic2,MAD_value_2,MAD_criteria_met_2
113,113,0.018085930438171704,0.13917381971876555,True
114,114,0.02048134379086126,0.13853849378634192,True
115,115,0.01956040242507059,0.14511630471796616,True
116,116,0.016377648778964065,0.1351269752471276,True
117,117,0.016006474825239238,0.1369577244995722,True
118,118,0.02748798425503541,0.13347489838143956,True
119,119,0.009355246465524497,0.1379547682263608,True
120,120,0.012095893520933872,0.14971049504835507,True
121,121,0.014331412710130442,0.13614439021373398,True
122,122,0.013868146324628867,0.14420239608438876,True
123,123,0.019700309228503052,0.14283152127605328,True
124,124,0.006432240734219858,0.15821268246155118,True
125,125,0.01857757795246079,0.13489081244377085,True
126,126,0.015584568867849175,0.14080223916441248,True
127,127,0.010696148408298327,0.1392823698714788,True
128,128,0.010787371254465378,0.13942484975031297,True
129,129,0.0118102022408933,0.14498869825773364,True
