,index_arr,sigH,T_period,Cp
3708,2472.0,0.8024269150170101,4.163726966369703,6.470306063448442
3709,2473.0,0.7229398558200996,3.9779516742820062,6.190850001070781
3710,2473.5,0.6493464818973884,4.024687836602052,6.2602653941987985
3711,2474.0,0.5757531079746772,4.071423998922096,6.329680787326816
3712,2475.0,0.4937477524279001,4.09284923389522,6.3598405001191685
3713,2475.5,0.4756597794122436,4.064037987264295,6.316227964250046
3714,2476.0,0.4575718063965871,4.03522674063337,6.272615428380923
3715,2477.0,0.45421598651949646,3.667225595166836,5.714344570303471
3716,2477.5,0.4753682944127007,3.6168598395727236,5.636740573887733
3717,2478.0,0.49652060230590495,3.5664940839786112,5.559136577471997
3718,2479.0,0.5167543593809516,3.5255887251028466,5.495911438886318
3719,2479.5,0.5367098748119973,3.5243310695200085,5.4939706797860035
3720,2480.0,0.556665390243043,3.5230734139371704,5.492029920685689
3721,2481.0,0.578776479360611,3.6585789998448908,5.7007452169651565
3722,2481.5,0.5710642117919573,3.679263249360716,5.732418119095598
3723,2482.0,0.5633519442233037,3.6999474988765404,5.764091021226041
3724,2483.0,0.5667978201943958,3.8762091560986294,6.032019823934514
3725,2483.5,0.5315525219597181,3.887193442250042,6.048495724304455
3726,2484.0,0.49630722372504044,3.8981777284014543,6.064971624674395
3727,2485.0,0.4247335723301226,3.871218098170523,6.0243220103205255
3728,2485.5,0.4220571238021781,3.897631830478619,6.064196996756607
3729,2486.0,0.4193806752742335,3.924045562786714,6.104071983192688
3730,2487.0,0.3943639058655017,3.963436034626772,6.163547785129005
3731,2487.5,0.3866472747036054,3.8870894134964784,6.048663866819478
3732,2488.0,0.378930643541709,3.810742792366185,5.933779948509951
3733,2489.0,0.3828383136501837,3.8741605730853546,6.030622351207795
3734,2489.5,0.3850685031659459,3.8340254117118486,5.969910279557345
3735,2490.0,0.3872986926817081,3.7938902503383427,5.909198207906893
3736,2491.0,0.42158422616152647,3.4939485579885465,5.4476468825391455
3737,2491.5,0.40731539292299956,3.5027711707531966,5.461381160849298
3738,2492.0,0.3930465596844726,3.511593783517847,5.47511543915945
3739,2493.0,0.3663392467150398,3.7014969420924224,5.768578427846042
3740,2493.5,0.34388354243833025,3.715709208170838,5.790464421548523
3741,2494.0,0.3214278381616207,3.7299214742492532,5.812350415251005
3742,2495.0,0.27265779527539774,3.8360127659197687,5.97486925853536
3743,2495.5,0.25922916854966493,3.9762050051859186,6.185988213376863
3744,2496.0,0.2458005418239321,4.1163972444520684,6.3971071682183664
3745,2497.0,0.23498466723050376,4.187828608881384,6.501736670199305
3746,2497.5,0.2302800766881998,4.276050840498033,6.628522945433305
3747,2498.0,0.22557548614589584,4.364273072114681,6.755309220667304
3748,2499.0,0.2247163140424644,4.315381985693091,6.6837243977007645
3749,2499.5,0.2191330173326882,4.2976148323910035,6.657336939602981
