,jd,old_date
536,112.38400,20220422_104000
537,112.39600,20220422_110000
538,112.40800,20220422_112000
539,112.42000,20220422_114000
540,112.43200,20220422_120000
541,112.44400,20220422_122000
542,112.45600,20220422_124000
543,112.46800,20220422_130000
544,112.48000,20220422_132000
545,112.49200,20220422_134000
546,112.50400,20220422_140000
547,112.51600,20220422_142000
548,112.52800,20220422_144000
549,112.54000,20220422_150000
550,112.55200,20220422_152000
551,112.56400,20220422_154000
552,112.57600,20220422_160000
553,112.58800,20220422_162000
554,112.60000,20220422_164000
555,112.61200,20220422_170000
556,112.62400,20220422_172000
557,112.63600,20220422_174000
558,112.64800,20220422_180000
559,112.66000,20220422_182000
560,112.67200,20220422_184000
561,112.68400,20220422_190000
562,112.69600,20220422_192000
563,112.70800,20220422_194000
564,112.72000,20220422_200000
565,112.73200,20220422_202000
566,112.74400,20220422_204000
567,112.75600,20220422_210000
568,112.76800,20220422_212000
569,112.78000,20220422_214000
570,112.79200,20220422_220000
571,112.80400,20220422_222000
572,112.81600,20220422_224000
573,112.82800,20220422_230000
574,112.84000,20220422_232000
575,112.85200,20220422_234000
576,113.00,20220423_000000
577,113.01200,20220423_002000
578,113.02400,20220423_004000
579,113.03600,20220423_010000
580,113.04800,20220423_012000
581,113.06000,20220423_014000
582,113.07200,20220423_020000
583,113.08400,20220423_022000
584,113.09600,20220423_024000
585,113.10800,20220423_030000
586,113.12000,20220423_032000
587,113.13200,20220423_034000
588,113.14400,20220423_040000
589,113.15600,20220423_042000
590,113.16800,20220423_044000
591,113.18000,20220423_050000
592,113.19200,20220423_052000
593,113.20400,20220423_054000
594,113.21600,20220423_060000
595,113.22800,20220423_062000
596,113.24000,20220423_064000
597,113.25200,20220423_070000
598,113.26400,20220423_072000
599,113.27600,20220423_074000
600,113.28800,20220423_080000
601,113.30000,20220423_082000
602,113.31200,20220423_084000
603,113.32400,20220423_090000
604,113.33600,20220423_092000
605,113.34800,20220423_094000
606,113.36000,20220423_100000
607,113.37200,20220423_102000
608,113.38400,20220423_104000
609,113.39600,20220423_110000
610,113.40800,20220423_112000
611,113.42000,20220423_114000
612,113.43200,20220423_120000
613,113.44400,20220423_122000
614,113.45600,20220423_124000
615,113.46800,20220423_130000
616,113.48000,20220423_132000
617,113.49200,20220423_134000
618,113.50400,20220423_140000
619,113.51600,20220423_142000
620,113.52800,20220423_144000
621,113.54000,20220423_150000
622,113.55200,20220423_152000
623,113.56400,20220423_154000
624,113.57600,20220423_160000
625,113.58800,20220423_162000
626,113.60000,20220423_164000
627,113.61200,20220423_170000
628,113.62400,20220423_172000
629,113.63600,20220423_174000
630,113.64800,20220423_180000
631,113.66000,20220423_182000
632,113.67200,20220423_184000
633,113.68400,20220423_190000
634,113.69600,20220423_192000
635,113.70800,20220423_194000
636,113.72000,20220423_200000
637,113.73200,20220423_202000
638,113.74400,20220423_204000
639,113.75600,20220423_210000
640,113.76800,20220423_212000
641,113.78000,20220423_214000
642,113.79200,20220423_220000
643,113.80400,20220423_222000
644,113.81600,20220423_224000
645,113.82800,20220423_230000
646,113.84000,20220423_232000
647,113.85200,20220423_234000
648,114.00,20220424_000000
649,114.01200,20220424_002000
650,114.02400,20220424_004000
651,114.03600,20220424_010000
652,114.04800,20220424_012000
653,114.06000,20220424_014000
654,114.07200,20220424_020000
655,114.08400,20220424_022000
656,114.09600,20220424_024000
657,114.10800,20220424_030000
658,114.12000,20220424_032000
659,114.13200,20220424_034000
660,114.14400,20220424_040000
661,114.15600,20220424_042000
662,114.16800,20220424_044000
663,114.18000,20220424_050000
664,114.19200,20220424_052000
665,114.20400,20220424_054000
666,114.21600,20220424_060000
667,114.22800,20220424_062000
668,114.24000,20220424_064000
669,114.25200,20220424_070000
670,114.26400,20220424_072000
671,114.27600,20220424_074000
672,114.28800,20220424_080000
673,114.30000,20220424_082000
674,114.31200,20220424_084000
675,114.32400,20220424_090000
676,114.33600,20220424_092000
677,114.34800,20220424_094000
678,114.36000,20220424_100000
679,114.37200,20220424_102000
680,114.38400,20220424_104000
681,114.39600,20220424_110000
682,114.40800,20220424_112000
683,114.42000,20220424_114000
684,114.43200,20220424_120000
