,rho_bar_1_dry,rho_bar_2_dry,rho_bar_3_dry,rho_bar_1_moist,rho_bar_2_moist,rho_bar_3_moist
3275,1.2238123825296754,1.2238483381524423,1.2237156087195518,1.2161351027628442,1.2161708328270375,1.216038936038925
3276,1.2238181949234912,1.2238521515302996,1.2237028195703035,1.2161087960538688,1.2161425387522493,1.2159941475035847
3277,1.2232578659283888,1.223296975860634,1.223242938268403,1.2154616161901062,1.2155004768610898,1.2154467836693124
3278,1.2224765671838236,1.222517147027575,1.2225145260350256,1.2146198633813028,1.2146601824234804,1.2146575782757218
3279,1.2215015649195295,1.2215449870790178,1.2214282193547519,1.2135954727475327,1.2136386138598203,1.213522601907317
3280,1.2213482123219348,1.2213886448296682,1.2213672143226548,1.213349459744913,1.2133896274554148,1.2133683372993034
3281,1.2207782568128756,1.2208203305774898,1.2208483370875243,1.2127545329234735,1.212796330152797,1.212824152586401
3282,1.2210394302070202,1.221078229228074,1.220860833800274,1.213012885538155,1.21305142951251,1.2128354631410276
3283,1.2206833998291045,1.2207198504094143,1.2205062028361207,1.212633206000345,1.2126694161954439,1.2124571775905826
3284,1.2206932560415882,1.2207315539205816,1.2205328197267749,1.2126740776483909,1.2127121239346748,1.2125146952981363
3285,1.2204221272573974,1.2204645540892167,1.2202063072526965,1.2123764357690028,1.2124185828998957,1.2121620385680485
3286,1.2197834507354073,1.219826956608278,1.2195936171882296,1.2116690694177925,1.2117122858759792,1.2114804987027905
3287,1.2178825604992727,1.2179219753608244,1.2176399479941127,1.2096833333717294,1.2097224828781372,1.2094423542219506
3288,1.2184012981087744,1.2184392538765605,1.218166661041547,1.210316241937332,1.210353945838582,1.2100831618726056
3289,1.2184415401479556,1.2184800626675023,1.2182762543778052,1.210408301004418,1.2104465695432838,1.210244104970685
3290,1.2172636122168914,1.2172997257101765,1.2170479071355023,1.2092508033523814,1.2092866791235197,1.209036518180017
3291,1.2170169881571735,1.2170503549454845,1.2167726788187776,1.2090217137370904,1.2090548613200562,1.2087790094052169
3292,1.2168951056409902,1.2169294016068444,1.2166916949058149,1.2088776583346936,1.2089117283434394,1.208675587760098
3293,1.2171766230792462,1.2172058598404445,1.216992640344276,1.2091487298334118,1.2091777737634353,1.2089659605572995
3294,1.2165766833161822,1.2166006675309435,1.2163225611188457,1.2085582466306206,1.2085820727658216,1.2083057993484603
3295,1.2165876266676605,1.2166135975987094,1.2164023967502668,1.2085689910883355,1.2085947908427037,1.2083849820375472
3296,1.2172469659412282,1.2172735496718419,1.217076625520724,1.2092739432328574,1.2093003528388329,1.2091047185498154
3297,1.217566783474429,1.2175912049367554,1.2174324057568922,1.209595853913724,1.2096201154983675,1.2094623559141093
3298,1.217282216662099,1.2173070927700478,1.2171429748476308,1.2093760091930879,1.2094007237315438,1.209237671749569
3299,1.2171349889734993,1.217157522248423,1.217033262878774,1.2092661789599397,1.209288566556643,1.2091651105271175
3300,1.2167902830658142,1.2168193239443805,1.2166044632492181,1.2089852315199126,1.20901408611695,1.2088006036369365
3301,1.217695925650692,1.2177306648669681,1.2175445868611663,1.209903054107557,1.2099375710037577,1.209752683838761
3302,1.2182841606700774,1.2183183865525284,1.2181879523034176,1.2105079939192207,1.2105420013418264,1.2104123996394267
3303,1.217936355493317,1.2179594583699047,1.2177966198577335,1.2101838371993496,1.2102067930194247,1.2100449910216315
3304,1.21679703414125,1.2168224861237749,1.2165073671892366,1.2090598923779843,1.2090851825211952,1.2087720673060944
3305,1.2174455586839648,1.2174679850693666,1.2172858001528049,1.209696129877759,1.2097184135120738,1.2095373882605422
3306,1.2174701664584173,1.217481442335277,1.2173520907869555,1.2096759852624854,1.2096871889517633,1.2095586655053807
3307,1.2173273180160447,1.217339190145974,1.2171521361639264,1.209539324222566,1.2095511203991562,1.209365263116821
3308,1.2177292698984712,1.2177484186818717,1.2176226661616787,1.2099174090646916,1.2099364350066404,1.2098114892020382
3309,1.2174544651883419,1.217474544139869,1.2172854125107129,1.2096540767913742,1.209674027094459,1.20948610725614
3310,1.217295920268227,1.2173281951514783,1.2171776309457945,1.209485646199292,1.2095177140041495,1.2093681158312042
3311,1.2178856567432355,1.2179237377895338,1.2178127307193407,1.210066540816185,1.2101043773730982,1.2099940829947293
3312,1.2179354539962362,1.2179734762696648,1.2178479498408148,1.2101339361010899,1.2101717148218363,1.21004699245586
3313,1.217450540236387,1.2174890219895913,1.217333077233662,1.2096656139974817,1.2097038496810508,1.2095489021060186
3314,1.2166368193199877,1.2166667972292398,1.2165559746130405,1.2087877962558318,1.2088175807652972,1.2087074731112437
3315,1.2159383324964872,1.2159705947860515,1.2158853569857202,1.2080142669099125,1.2080463189515624,1.2079616366316384
3316,1.2164653235581004,1.2164981488755562,1.2164125645071346,1.2084095029778876,1.208442110915643,1.208357093314151
3317,1.2164170022472816,1.2164488645885803,1.2163974216765334,1.208264241285127,1.2082958900762601,1.2082447919487438
3318,1.2167061260611858,1.2167390086086105,1.2168095945965693,1.2085169726225737,1.2085496338509631,1.2086197447533824
3319,1.2173365199947879,1.2173723293454761,1.2173646713352582,1.2091807745389103,1.209216343978987,1.209208737274863
3320,1.217322176159609,1.2173605544555497,1.2173018723719329,1.2091530120060479,1.2091911327542288,1.209132844472338
3321,1.217477575528537,1.217517163928408,1.2174546227735614,1.2093323106351777,1.2093716341776004,1.209309511440541
3322,1.2171452268019844,1.2171835742960122,1.2170931318142026,1.2089903852367703,1.209028475803579,1.2089386392840602
3323,1.2166319788402056,1.2166731369106205,1.216582161292765,1.208425449156893,1.2084663296043847,1.208375967643018
3324,1.2161761247756602,1.2162170613964272,1.2162132171821296,1.207893428477985,1.207934086302293,1.2079302682687918
