,index_arr,sigH,T_period,Cp
1699,1117.0,1.1296119438611112,4.19672131147541,6.5248011465244
1700,1117.5,1.1216921955511199,4.3052572074618425,6.683959299997914
1701,1118.0,1.1137724472411286,4.413793103448276,6.84311745347143
1702,1119.0,1.0903804903507583,4.19672131147541,6.523310979246909
1703,1119.5,1.0763694382951319,4.1628767847699635,6.472331832828667
1704,1120.0,1.0623583862395054,4.129032258064516,6.421352686410424
1705,1121.0,1.0632827803891518,4.162601626016261,6.470746942854056
1706,1121.5,1.0346759937952479,4.232561317209811,6.57373751359877
1707,1122.0,1.0060692072013442,4.302521008403361,6.676728084343484
1708,1123.0,1.0138651205351303,4.19672131147541,6.520803780855871
1709,1123.5,0.9720911070308249,4.0983606557377055,6.37337466074459
1710,1124.0,0.9303170935265195,4.0,6.225945540633308
1711,1125.0,0.8823186729032033,4.096,6.370308367072774
1712,1125.5,0.8748195983374869,3.9873939393939395,6.205900542025864
1713,1126.0,0.8673205237717704,3.878787878787879,6.041492716978955
1714,1127.0,0.8043667475713706,3.506849315068493,5.468182487558058
1715,1127.5,0.9037189207430651,3.531202435312024,5.505941619737719
1716,1128.0,1.0030710939147596,3.5555555555555554,5.543700751917381
1717,1129.0,0.6591632183082946,3.4829931972789114,5.431147188302521
1718,1129.5,0.6491130602197182,3.4712263283691858,5.412878528296545
1719,1130.0,0.6390629021311416,3.4594594594594597,5.394609868290568
1720,1131.0,0.6475812127734534,3.261146496815287,5.086121458294666
1721,1131.5,0.6526753559880218,3.360302978137373,5.240389925749984
1722,1132.0,0.6577694992025903,3.4594594594594597,5.394658393205301
1723,1133.0,0.6489901409012454,3.1604938271604937,4.92932239918197
1724,1133.5,0.6474999275499173,3.3099766433099767,5.162046221410328
1725,1134.0,0.6460097141985891,3.4594594594594597,5.394770043638687
1726,1135.0,0.6540854916519212,3.240506329113924,5.0540350785797274
1727,1135.5,0.6523859043473974,3.261278805582603,5.086406407637925
1728,1136.0,0.6506863170428737,3.282051282051282,5.118777736696124
1729,1137.0,0.6925933834355159,3.506849315068493,5.468607542672291
1730,1137.5,0.689015455705153,3.506849315068493,5.468638974946286
1731,1138.0,0.6854375279747901,3.506849315068493,5.46867040722028
1732,1139.0,0.6847399333807974,3.324675324675325,5.18522802671479
1733,1139.5,0.6712984140679965,3.346548188653452,5.219292773744639
1734,1140.0,0.6578568947551957,3.3684210526315788,5.253357520774488
1735,1141.0,0.7093223873704899,3.5804195804195804,5.582966666869826
1736,1141.5,0.690217720816765,3.5804195804195804,5.582939238164988
1737,1142.0,0.6711130542630401,3.5804195804195804,5.582911809460149
1738,1143.0,0.741946901262039,3.3684210526315788,5.253307799557969
1739,1143.5,0.7849168591253479,3.5805068226120857,5.582010174723246
1740,1144.0,0.827886816988657,3.7925925925925927,5.9107125498885225
1741,1145.0,0.8592651337845169,3.8496240601503757,5.998093277505609
1742,1145.5,0.8513541689807197,3.727628931483639,5.809874051569005
1743,1146.0,0.8434432041769225,3.6056338028169015,5.621654825632401
1744,1147.0,0.8525740162069109,3.4829931972789114,5.4313355510101475
1745,1147.5,0.889367164259109,3.666308628714644,5.71439656438843
1746,1148.0,0.926160312311307,3.8496240601503757,5.997457577766712
1747,1149.0,1.0615504785034524,3.8496240601503757,5.997254100766991
1748,1149.5,1.0338705699289286,3.835259791269218,5.9751573172020525
1749,1150.0,1.0061906613544047,3.8208955223880596,5.953060533637115
1750,1151.0,1.0972366586018873,4.063492063492063,6.321244031966837
1751,1151.5,1.1029353522854748,4.147448511084875,6.445831686894799
1752,1152.0,1.1086340459690622,4.231404958677686,6.570419341822761
1753,1153.0,1.194385100672758,4.491228070175438,6.943821233117657
1754,1153.5,1.194686701368142,4.361316514426562,6.756673144132067
1755,1154.0,1.194988302063526,4.231404958677686,6.569525055146477
1756,1155.0,1.2224480551682861,4.129032258064516,6.418074303407406
1757,1155.5,1.1757217567367055,4.145816942040389,6.443031303806524
1758,1156.0,1.1289954583051247,4.162601626016261,6.467988304205643
1759,1157.0,1.1116224145111606,4.413793103448276,6.833903800647427
1760,1157.5,1.1507725875704287,4.394930739758326,6.8073346463096875
1761,1158.0,1.189922760629697,4.3760683760683765,6.780765491971947
1762,1159.0,1.2601137689327184,4.491228070175438,6.946151460164484
1763,1159.5,1.209117332226915,4.572886762360446,7.0607248125506565
1764,1160.0,1.1581208955211117,4.654545454545454,7.175298164936828
1765,1161.0,1.1611753651152537,4.413793103448276,6.839839057773038
1766,1161.5,1.2004972946675725,4.513202858030445,6.981740016375628
1767,1162.0,1.239819224219891,4.612612612612613,7.123640974978217
1768,1163.0,1.1327309105093193,4.697247706422019,7.243657447265645
1769,1163.5,1.2028159240130465,4.614110578874726,7.12857634130389
1770,1164.0,1.2729009375167737,4.530973451327434,7.013495235342135
1771,1165.0,1.2413765603780211,4.7407407407407405,7.307143789146078
1772,1165.5,1.278321888065037,4.676676676676676,7.218372360866266
1773,1166.0,1.3152672157520533,4.612612612612613,7.129600932586454
1774,1167.0,1.2626925862008764,4.7407407407407405,7.305189219128372
1775,1167.5,1.2455764416292596,4.615984405458089,7.130051036014127
1776,1168.0,1.2284602970576426,4.491228070175438,6.954912852899881
1777,1169.0,1.2155684160734102,4.571428571428571,7.0663960204556355
1778,1169.5,1.2131047851404553,4.511801242236025,6.980893429058169
1779,1170.0,1.2106411542075006,4.452173913043478,6.895390837660701
1780,1171.0,1.1222705526406358,4.452173913043478,6.893988041928987
1781,1171.5,1.138400424912216,4.324447612259444,6.707599869038959
1782,1172.0,1.154530297183796,4.19672131147541,6.5212116961489315
1783,1173.0,1.1175282266707296,4.231404958677686,6.572092122061742
1784,1173.5,1.123683826791304,4.2140631350765485,6.546363075782354
1785,1174.0,1.1298394269118786,4.19672131147541,6.520634029502967
1786,1175.0,1.1114288187083894,4.096,6.370519320047951
1787,1175.5,1.0273486894567243,4.112516129032258,6.39518905801927
1788,1176.0,0.9432685602050592,4.129032258064516,6.419858795990588
1789,1177.0,0.8906457520979955,3.9384615384615387,6.132511689814165
1790,1177.5,0.8938821949388649,3.923429242513212,6.109612105010944
1791,1178.0,0.8971186377797343,3.9083969465648853,6.0867125202077235
1792,1179.0,0.9063193531188016,3.5804195804195804,5.582289944216723
1793,1179.5,0.8867239264843575,3.631936408914826,5.661955142353177
1794,1180.0,0.8671284998499134,3.683453237410072,5.741620340489631
1795,1181.0,0.8175043060458485,4.031496062992126,6.273679601750148
1796,1181.5,0.8053977137790846,3.818564932904514,5.94756233304081
1797,1182.0,0.793291121512321,3.6056338028169015,5.621445064331471
1798,1183.0,0.7980667504730516,3.657142857142857,5.701235201962556
1799,1183.5,0.7963887616129687,3.657142857142857,5.701296723763935
1800,1184.0,0.7947107727528857,3.657142857142857,5.701358245565314
1801,1185.0,0.7611272451428475,3.8208955223880596,5.9540510859003835
1802,1185.5,0.7613291473904644,3.835259791269218,5.976263941218541
1803,1186.0,0.7615310496380813,3.8496240601503757,5.998476796536699
1804,1187.0,0.7506304885760852,3.657142857142857,5.701821090551272
1805,1187.5,0.7195942451642512,3.7248677248677247,5.806561525312523
1806,1188.0,0.6885580017524171,3.7925925925925927,5.911301960073773
1807,1189.0,0.6866908066680509,3.7372262773722627,5.825972225609798
1808,1189.5,0.6963973531006623,3.750966079862602,5.847214009961142
1809,1190.0,0.7061038995332737,3.764705882352941,5.868455794312487
1810,1191.0,0.7427512769702103,3.4133333333333336,5.3232974287502515
1811,1191.5,0.7730853720523296,3.6171144278606966,5.639124369249598
1812,1192.0,0.8034194671344491,3.8208955223880596,5.954951309748944
1813,1193.0,0.776371847365572,3.710144927536232,5.783883987525418
1814,1193.5,0.7802925557145737,3.8243032329988855,5.95929686710269
1815,1194.0,0.7842132640635755,3.9384615384615387,6.134709746679962
1816,1195.0,0.8439622513569949,3.710144927536232,5.783537797180658
1817,1195.5,0.8180317962439042,3.6836438923395445,5.742494697348421
1818,1196.0,0.7921013411308135,3.657142857142857,5.701451597516184
1819,1197.0,0.8410869460541854,3.4133333333333336,5.3230738248795415
1820,1197.5,0.8263082462597988,3.436396396396397,5.358903103900538
1821,1198.0,0.8115295464654122,3.4594594594594597,5.394732382921533
1822,1199.0,0.8080319257338904,3.5804195804195804,5.582345200183805
1823,1199.5,0.8845936594242039,3.715021820284978,5.789607634690743
1824,1200.0,0.9611553931145175,3.8496240601503757,5.99687006919768
1825,1201.0,0.8991851193486885,3.8208955223880596,5.952678504339411
1826,1201.5,0.9314144008629877,3.8949438852250378,6.065357982452319
1827,1202.0,0.9636436823772868,3.9689922480620154,6.178037460565228
1828,1203.0,1.0214656882312454,4.063492063492063,6.320269105374178
1829,1203.5,0.9622299812677708,3.9421937929400617,6.136357072717287
1830,1204.0,0.9029942743042964,3.8208955223880596,5.952445040060395
1831,1205.0,0.996528738848232,4.0,6.224902210489189
1832,1205.5,0.9807128329757454,3.9541984732824424,6.155554830753003
1833,1206.0,0.9648969271032588,3.9083969465648853,6.086207451016816
1834,1207.0,0.8771375663556098,3.710144927536232,5.782604102177063
1835,1207.5,0.8867000325436178,3.9030724637681162,6.076444332055953
1836,1208.0,0.8962624987316258,4.096,6.370284561934842
1837,1209.0,0.8867182031931699,4.063492063492063,6.3220806393537865
1838,1209.5,0.9007533922600777,4.183006535947712,6.499976808932235
1839,1210.0,0.9147885813269854,4.302521008403361,6.677872978510685
1840,1211.0,0.9126610679974371,4.063492063492063,6.32332985212794
1841,1211.5,0.8939513148338467,4.031746031746032,6.27556344594058
1842,1212.0,0.8752415616702565,4.0,6.227797039753219
1843,1213.0,0.9192084764055695,4.162601626016261,6.4736416840561
1844,1213.5,0.9366468219891012,4.129300813008131,6.423850947607702
1845,1214.0,0.954085167572633,4.096,6.374060211159305
1846,1215.0,0.8695201272682117,4.096,6.3743911417876715
