,Year,Month,Day,Hour,Minute,PW boom-1 [m^3/s^3],PW boom-2 [m^3/s^3],PW boom-3 [m^3/s^3],d_dz_pw_theory_I,d_dz_pw_theory_II,datetime
144,2022.0,4.0,17.0,0.0,0.0,,,,,,2022-04-17 00:00:00
145,2022.0,4.0,17.0,0.0,20.0,,,,,,2022-04-17 00:20:00
146,2022.0,4.0,17.0,0.0,40.0,,,,,,2022-04-17 00:40:00
147,2022.0,4.0,17.0,1.0,0.0,,,,,,2022-04-17 01:00:00
148,2022.0,4.0,17.0,1.0,20.0,,,,,,2022-04-17 01:20:00
149,2022.0,4.0,17.0,1.0,40.0,,,,,,2022-04-17 01:40:00
150,2022.0,4.0,17.0,2.0,0.0,,,,,,2022-04-17 02:00:00
151,2022.0,4.0,17.0,2.0,20.0,,,,,,2022-04-17 02:20:00
152,2022.0,4.0,17.0,2.0,40.0,,,,,,2022-04-17 02:40:00
153,2022.0,4.0,17.0,3.0,0.0,,,,,,2022-04-17 03:00:00
154,2022.0,4.0,17.0,3.0,20.0,,,,,,2022-04-17 03:20:00
155,2022.0,4.0,17.0,3.0,40.0,,,,,,2022-04-17 03:40:00
156,2022.0,4.0,17.0,4.0,0.0,,,,,,2022-04-17 04:00:00
157,2022.0,4.0,17.0,4.0,20.0,,,,,,2022-04-17 04:20:00
158,2022.0,4.0,17.0,4.0,40.0,,,,,,2022-04-17 04:40:00
159,2022.0,4.0,17.0,5.0,0.0,,,,,,2022-04-17 05:00:00
160,2022.0,4.0,17.0,5.0,20.0,,,,,,2022-04-17 05:20:00
161,2022.0,4.0,17.0,5.0,40.0,,,,,,2022-04-17 05:40:00
162,2022.0,4.0,17.0,6.0,0.0,,,,,,2022-04-17 06:00:00
163,2022.0,4.0,17.0,6.0,20.0,,,,,,2022-04-17 06:20:00
164,2022.0,4.0,17.0,6.0,40.0,,,,,,2022-04-17 06:40:00
165,2022.0,4.0,17.0,7.0,0.0,,,,,,2022-04-17 07:00:00
166,2022.0,4.0,17.0,7.0,20.0,,,,,,2022-04-17 07:20:00
167,2022.0,4.0,17.0,7.0,40.0,,,,,,2022-04-17 07:40:00
168,2022.0,4.0,17.0,8.0,0.0,,,,,,2022-04-17 08:00:00
169,2022.0,4.0,17.0,8.0,20.0,,,,,,2022-04-17 08:20:00
170,2022.0,4.0,17.0,8.0,40.0,,,,,,2022-04-17 08:40:00
171,2022.0,4.0,17.0,9.0,0.0,,,,,,2022-04-17 09:00:00
172,2022.0,4.0,17.0,9.0,20.0,,,,,,2022-04-17 09:20:00
173,2022.0,4.0,17.0,9.0,40.0,,,,,,2022-04-17 09:40:00
174,2022.0,4.0,17.0,10.0,0.0,,,,,,2022-04-17 10:00:00
175,2022.0,4.0,17.0,10.0,20.0,,,,,,2022-04-17 10:20:00
176,2022.0,4.0,17.0,10.0,40.0,,,,,,2022-04-17 10:40:00
177,2022.0,4.0,17.0,11.0,0.0,,,,,,2022-04-17 11:00:00
178,2022.0,4.0,17.0,11.0,20.0,,,,,,2022-04-17 11:20:00
179,2022.0,4.0,17.0,11.0,40.0,,,,,,2022-04-17 11:40:00
180,2022.0,4.0,17.0,12.0,0.0,,,,,,2022-04-17 12:00:00
181,2022.0,4.0,17.0,12.0,20.0,,,,,,2022-04-17 12:20:00
182,2022.0,4.0,17.0,12.0,40.0,,,,,,2022-04-17 12:40:00
183,2022.0,4.0,17.0,13.0,0.0,,,,,,2022-04-17 13:00:00
184,2022.0,4.0,17.0,13.0,20.0,,,,,,2022-04-17 13:20:00
185,2022.0,4.0,17.0,13.0,40.0,,,,,,2022-04-17 13:40:00
186,2022.0,4.0,17.0,14.0,0.0,,,,,,2022-04-17 14:00:00
187,2022.0,4.0,17.0,14.0,20.0,,,,,,2022-04-17 14:20:00
188,2022.0,4.0,17.0,14.0,40.0,,,,,,2022-04-17 14:40:00
189,2022.0,4.0,17.0,14.0,59.0,,,,,,2022-04-17 15:00:00
190,2022.0,4.0,17.0,15.0,19.0,,,,,,2022-04-17 15:20:00
191,2022.0,4.0,17.0,15.0,39.0,,,,,,2022-04-17 15:40:00
192,2022.0,4.0,17.0,15.0,59.0,,,,,,2022-04-17 16:00:00
193,2022.0,4.0,17.0,16.0,19.0,,,,,,2022-04-17 16:20:00
194,2022.0,4.0,17.0,16.0,39.0,,,,,,2022-04-17 16:40:00
195,2022.0,4.0,17.0,16.0,59.0,,,,,,2022-04-17 17:00:00
196,2022.0,4.0,17.0,17.0,19.0,,,,,,2022-04-17 17:20:00
197,2022.0,4.0,17.0,17.0,39.0,,,,,,2022-04-17 17:40:00
198,2022.0,4.0,17.0,17.0,59.0,,,,,,2022-04-17 18:00:00
199,2022.0,4.0,17.0,18.0,19.0,,,,,,2022-04-17 18:20:00
200,2022.0,4.0,17.0,18.0,39.0,,,,,,2022-04-17 18:40:00
201,2022.0,4.0,17.0,18.0,59.0,,,,,,2022-04-17 19:00:00
202,2022.0,4.0,17.0,19.0,19.0,,,,,,2022-04-17 19:20:00
203,2022.0,4.0,17.0,19.0,39.0,,,,,,2022-04-17 19:40:00
204,2022.0,4.0,17.0,19.0,59.0,,,,,,2022-04-17 20:00:00
205,2022.0,4.0,17.0,20.0,19.0,,,,,,2022-04-17 20:20:00
206,2022.0,4.0,17.0,20.0,39.0,,,,,,2022-04-17 20:40:00
207,2022.0,4.0,17.0,20.0,59.0,,,,,,2022-04-17 21:00:00
208,2022.0,4.0,17.0,21.0,19.0,,,,,,2022-04-17 21:20:00
209,2022.0,4.0,17.0,21.0,39.0,,,,,,2022-04-17 21:40:00
210,2022.0,4.0,17.0,21.0,59.0,,,,,,2022-04-17 22:00:00
211,2022.0,4.0,17.0,22.0,19.0,,,,,,2022-04-17 22:20:00
212,2022.0,4.0,17.0,22.0,39.0,,,,,,2022-04-17 22:40:00
213,2022.0,4.0,17.0,22.0,59.0,,,,,,2022-04-17 23:00:00
214,2022.0,4.0,17.0,23.0,19.0,,,,,,2022-04-17 23:20:00
215,2022.0,4.0,17.0,23.0,39.0,,,,,,2022-04-17 23:40:00
216,2022.0,4.0,18.0,0.0,0.0,,,,,,2022-04-18 00:00:00
217,2022.0,4.0,18.0,0.0,20.0,,,,,,2022-04-18 00:20:00
218,2022.0,4.0,18.0,0.0,40.0,,,,,,2022-04-18 00:40:00
219,2022.0,4.0,18.0,1.0,0.0,,,,,,2022-04-18 01:00:00
220,2022.0,4.0,18.0,1.0,20.0,,,,,,2022-04-18 01:20:00
221,2022.0,4.0,18.0,1.0,40.0,,,,,,2022-04-18 01:40:00
222,2022.0,4.0,18.0,2.0,0.0,,,,,,2022-04-18 02:00:00
223,2022.0,4.0,18.0,2.0,20.0,,,,,,2022-04-18 02:20:00
224,2022.0,4.0,18.0,2.0,40.0,,,,,,2022-04-18 02:40:00
225,2022.0,4.0,18.0,3.0,0.0,,,,,,2022-04-18 03:00:00
226,2022.0,4.0,18.0,3.0,20.0,,,,,,2022-04-18 03:20:00
227,2022.0,4.0,18.0,3.0,40.0,,,,,,2022-04-18 03:40:00
228,2022.0,4.0,18.0,4.0,0.0,,,,,,2022-04-18 04:00:00
229,2022.0,4.0,18.0,4.0,20.0,,,,,,2022-04-18 04:20:00
230,2022.0,4.0,18.0,4.0,40.0,,,,,,2022-04-18 04:40:00
231,2022.0,4.0,18.0,5.0,0.0,,,,,,2022-04-18 05:00:00
232,2022.0,4.0,18.0,5.0,20.0,,,,,,2022-04-18 05:20:00
233,2022.0,4.0,18.0,5.0,40.0,,,,,,2022-04-18 05:40:00
234,2022.0,4.0,18.0,6.0,0.0,,,,,,2022-04-18 06:00:00
235,2022.0,4.0,18.0,6.0,20.0,,,,,,2022-04-18 06:20:00
236,2022.0,4.0,18.0,6.0,40.0,,,,,,2022-04-18 06:40:00
237,2022.0,4.0,18.0,7.0,0.0,,,,,,2022-04-18 07:00:00
238,2022.0,4.0,18.0,7.0,20.0,,,,,,2022-04-18 07:20:00
239,2022.0,4.0,18.0,7.0,40.0,,,,,,2022-04-18 07:40:00
240,2022.0,4.0,18.0,8.0,0.0,,,,,,2022-04-18 08:00:00
241,2022.0,4.0,18.0,8.0,20.0,,,,,,2022-04-18 08:20:00
242,2022.0,4.0,18.0,8.0,40.0,,,,,,2022-04-18 08:40:00
243,2022.0,4.0,18.0,9.0,0.0,,,,,,2022-04-18 09:00:00
244,2022.0,4.0,18.0,9.0,20.0,,,,,,2022-04-18 09:20:00
245,2022.0,4.0,18.0,9.0,40.0,,,,,,2022-04-18 09:40:00
246,2022.0,4.0,18.0,10.0,0.0,,,,,,2022-04-18 10:00:00
247,2022.0,4.0,18.0,10.0,20.0,,,,,,2022-04-18 10:20:00
248,2022.0,4.0,18.0,10.0,40.0,,,,,,2022-04-18 10:40:00
249,2022.0,4.0,18.0,11.0,0.0,,,,,,2022-04-18 11:00:00
250,2022.0,4.0,18.0,11.0,20.0,,,,,,2022-04-18 11:20:00
251,2022.0,4.0,18.0,11.0,40.0,,,,,,2022-04-18 11:40:00
