Year,Month,Day,Hour,Minute,PW boom-1 [m^3/s^3],PW boom-2 [m^3/s^3],PW boom-3 [m^3/s^3]
2022,4,14,21,39,NaN,NaN,NaN
2022,4,14,21,59,NaN,NaN,NaN
2022,4,14,22,19,NaN,NaN,NaN
2022,4,14,22,39,NaN,NaN,NaN
2022,4,14,22,59,NaN,NaN,NaN
2022,4,14,23,19,NaN,NaN,NaN
2022,4,14,23,39,NaN,NaN,NaN
2022,4,15,0,0,NaN,NaN,NaN
2022,4,15,0,20,NaN,NaN,NaN
2022,4,15,0,40,NaN,NaN,NaN
2022,4,15,1,0,NaN,NaN,NaN
2022,4,15,1,20,NaN,NaN,NaN
2022,4,15,1,40,NaN,NaN,NaN
2022,4,15,2,0,NaN,NaN,NaN
2022,4,15,2,20,NaN,NaN,NaN
2022,4,15,2,40,NaN,NaN,NaN
2022,4,15,3,0,NaN,NaN,NaN
2022,4,15,3,20,NaN,NaN,NaN
2022,4,15,3,40,NaN,NaN,NaN
2022,4,15,4,0,NaN,NaN,NaN
2022,4,15,4,20,NaN,NaN,NaN
2022,4,15,4,40,NaN,NaN,NaN
2022,4,15,5,0,NaN,NaN,NaN
2022,4,15,5,20,NaN,NaN,NaN
2022,4,15,5,40,NaN,NaN,NaN
2022,4,15,6,0,NaN,NaN,NaN
2022,4,15,6,20,NaN,NaN,NaN
2022,4,15,6,40,NaN,NaN,NaN
2022,4,15,7,0,NaN,NaN,NaN
2022,4,15,7,20,NaN,NaN,NaN
2022,4,15,7,40,NaN,NaN,NaN
2022,4,15,8,0,NaN,NaN,NaN
2022,4,15,8,20,NaN,NaN,NaN
2022,4,15,8,40,NaN,NaN,NaN
2022,4,15,9,0,NaN,NaN,NaN
2022,4,15,9,20,NaN,NaN,NaN
2022,4,15,9,40,NaN,NaN,NaN
2022,4,15,10,0,NaN,NaN,NaN
2022,4,15,10,20,NaN,NaN,NaN
2022,4,15,10,40,NaN,NaN,NaN
2022,4,15,11,0,NaN,NaN,NaN
2022,4,15,11,20,NaN,NaN,NaN
2022,4,15,11,40,NaN,NaN,NaN
2022,4,15,12,0,NaN,NaN,NaN
2022,4,15,12,20,NaN,NaN,NaN
2022,4,15,12,40,NaN,NaN,NaN
2022,4,15,13,0,NaN,NaN,NaN
2022,4,15,13,20,NaN,NaN,NaN
2022,4,15,13,40,NaN,NaN,NaN
2022,4,15,14,0,NaN,NaN,NaN
2022,4,15,14,20,NaN,NaN,NaN
2022,4,15,14,40,NaN,NaN,NaN
2022,4,15,14,59,NaN,NaN,NaN
2022,4,15,15,19,NaN,NaN,NaN
2022,4,15,15,39,NaN,NaN,NaN
2022,4,15,15,59,NaN,NaN,NaN
2022,4,15,16,19,NaN,NaN,NaN
2022,4,15,16,39,NaN,NaN,NaN
2022,4,15,16,59,NaN,NaN,NaN
2022,4,15,17,19,NaN,NaN,NaN
2022,4,15,17,39,NaN,NaN,NaN
2022,4,15,17,59,NaN,NaN,NaN
2022,4,15,18,19,NaN,NaN,NaN
2022,4,15,18,39,NaN,NaN,NaN
2022,4,15,18,59,NaN,NaN,NaN
2022,4,15,19,19,NaN,NaN,NaN
2022,4,15,19,39,NaN,NaN,NaN
2022,4,15,19,59,NaN,NaN,NaN
2022,4,15,20,19,NaN,NaN,NaN
2022,4,15,20,39,NaN,NaN,NaN
2022,4,15,20,59,NaN,NaN,NaN
2022,4,15,21,19,NaN,NaN,NaN
2022,4,15,21,39,NaN,NaN,NaN
2022,4,15,21,59,NaN,NaN,NaN
2022,4,15,22,19,NaN,NaN,NaN
2022,4,15,22,39,NaN,NaN,NaN
2022,4,15,22,59,NaN,NaN,NaN
2022,4,15,23,19,NaN,NaN,NaN
2022,4,15,23,39,NaN,NaN,NaN
2022,4,16,0,0,NaN,NaN,NaN
2022,4,16,0,20,NaN,NaN,NaN
2022,4,16,0,40,NaN,NaN,NaN
2022,4,16,1,0,NaN,NaN,NaN
2022,4,16,1,20,NaN,NaN,NaN
2022,4,16,1,40,NaN,NaN,NaN
2022,4,16,2,0,NaN,NaN,NaN
2022,4,16,2,20,NaN,NaN,NaN
2022,4,16,2,40,NaN,NaN,NaN
2022,4,16,3,0,NaN,NaN,NaN
2022,4,16,3,20,NaN,NaN,NaN
2022,4,16,3,40,NaN,NaN,NaN
2022,4,16,4,0,NaN,NaN,NaN
2022,4,16,4,20,NaN,NaN,NaN
2022,4,16,4,40,NaN,NaN,NaN
2022,4,16,5,0,NaN,NaN,NaN
2022,4,16,5,20,NaN,NaN,NaN
2022,4,16,5,40,NaN,NaN,NaN
2022,4,16,6,0,NaN,NaN,NaN
2022,4,16,6,20,NaN,NaN,NaN
2022,4,16,6,40,NaN,NaN,NaN
2022,4,16,7,0,NaN,NaN,NaN
2022,4,16,7,20,NaN,NaN,NaN
2022,4,16,7,40,NaN,NaN,NaN
2022,4,16,8,0,NaN,NaN,NaN
2022,4,16,8,20,NaN,NaN,NaN
2022,4,16,8,40,NaN,NaN,NaN
2022,4,16,9,0,NaN,NaN,NaN
2022,4,16,9,20,NaN,NaN,NaN
2022,4,16,9,40,NaN,NaN,NaN
2022,4,16,10,0,NaN,NaN,NaN
2022,4,16,10,20,NaN,NaN,NaN
2022,4,16,10,40,NaN,NaN,NaN
2022,4,16,11,0,NaN,NaN,NaN
2022,4,16,11,20,NaN,NaN,NaN
2022,4,16,11,40,NaN,NaN,NaN
2022,4,16,12,0,NaN,NaN,NaN
2022,4,16,12,20,NaN,NaN,NaN
2022,4,16,12,40,NaN,NaN,NaN
2022,4,16,13,0,NaN,NaN,NaN
2022,4,16,13,20,NaN,NaN,NaN
2022,4,16,13,40,NaN,NaN,NaN
2022,4,16,14,0,NaN,NaN,NaN
2022,4,16,14,20,NaN,NaN,NaN
2022,4,16,14,40,NaN,NaN,NaN
2022,4,16,14,59,NaN,NaN,NaN
2022,4,16,15,19,NaN,NaN,NaN
2022,4,16,15,39,NaN,NaN,NaN
2022,4,16,15,59,NaN,NaN,NaN
2022,4,16,16,19,NaN,NaN,NaN
2022,4,16,16,39,NaN,NaN,NaN
2022,4,16,16,59,NaN,NaN,NaN
2022,4,16,17,19,NaN,NaN,NaN
2022,4,16,17,39,NaN,NaN,NaN
2022,4,16,17,59,NaN,NaN,NaN
2022,4,16,18,19,NaN,NaN,NaN
2022,4,16,18,39,NaN,NaN,NaN
2022,4,16,18,59,NaN,NaN,NaN
2022,4,16,19,19,NaN,NaN,NaN
2022,4,16,19,39,NaN,NaN,NaN
2022,4,16,19,59,NaN,NaN,NaN
2022,4,16,20,19,NaN,NaN,NaN
2022,4,16,20,39,NaN,NaN,NaN
2022,4,16,20,59,NaN,NaN,NaN
2022,4,16,21,19,NaN,NaN,NaN
2022,4,16,21,39,NaN,NaN,NaN
2022,4,16,21,59,NaN,NaN,NaN
2022,4,16,22,19,NaN,NaN,NaN
2022,4,16,22,39,NaN,NaN,NaN
2022,4,16,22,59,NaN,NaN,NaN
2022,4,16,23,19,NaN,NaN,NaN
2022,4,16,23,39,NaN,NaN,NaN
2022,4,17,0,0,NaN,NaN,NaN
2022,4,17,0,20,NaN,NaN,NaN
2022,4,17,0,40,NaN,NaN,NaN
2022,4,17,1,0,NaN,NaN,NaN
2022,4,17,1,20,NaN,NaN,NaN
2022,4,17,1,40,NaN,NaN,NaN
2022,4,17,2,0,NaN,NaN,NaN
2022,4,17,2,20,NaN,NaN,NaN
2022,4,17,2,40,NaN,NaN,NaN
2022,4,17,3,0,NaN,NaN,NaN
2022,4,17,3,20,NaN,NaN,NaN
2022,4,17,3,40,NaN,NaN,NaN
2022,4,17,4,0,NaN,NaN,NaN
2022,4,17,4,20,NaN,NaN,NaN
2022,4,17,4,40,NaN,NaN,NaN
2022,4,17,5,0,NaN,NaN,NaN
2022,4,17,5,20,NaN,NaN,NaN
2022,4,17,5,40,NaN,NaN,NaN
2022,4,17,6,0,NaN,NaN,NaN
2022,4,17,6,20,NaN,NaN,NaN
2022,4,17,6,40,NaN,NaN,NaN
2022,4,17,7,0,NaN,NaN,NaN
2022,4,17,7,20,NaN,NaN,NaN
2022,4,17,7,40,NaN,NaN,NaN
2022,4,17,8,0,NaN,NaN,NaN
2022,4,17,8,20,NaN,NaN,NaN
2022,4,17,8,40,NaN,NaN,NaN
2022,4,17,9,0,NaN,NaN,NaN
