,date,lat,lon
145,2022-04-17 00:20:38.976000,41.5777,-70.74611
146,2022-04-17 00:40:38.985604,41.5777,-70.74611
147,2022-04-17 01:00:38.995199,41.5777,-70.74611
148,2022-04-17 01:20:39.004803,41.5777,-70.74611
149,2022-04-17 01:40:39.014398,41.5777,-70.74611
150,2022-04-17 02:00:39.024002,41.5777,-70.74611
151,2022-04-17 02:20:39.033597,41.5777,-70.74611
152,2022-04-17 02:40:39.043201,41.5777,-70.74611
153,2022-04-17 03:00:38.966405,41.5777,-70.74611
154,2022-04-17 03:20:38.976000,41.5777,-70.74611
155,2022-04-17 03:40:38.985604,41.5777,-70.74611
156,2022-04-17 04:00:38.995199,41.5777,-70.74611
157,2022-04-17 04:20:39.004803,41.5777,-70.74611
158,2022-04-17 04:40:39.014398,41.5777,-70.74611
159,2022-04-17 05:00:39.024002,41.5777,-70.74611
160,2022-04-17 05:20:39.033597,41.5777,-70.74611
161,2022-04-17 05:40:39.043201,41.5777,-70.74611
162,2022-04-17 06:00:38.966405,41.5777,-70.74611
163,2022-04-17 06:20:38.976000,41.5777,-70.74611
164,2022-04-17 06:40:38.985604,41.5777,-70.74611
165,2022-04-17 07:00:38.995199,41.5777,-70.74611
166,2022-04-17 07:20:39.004803,41.5777,-70.74611
167,2022-04-17 07:40:39.014398,41.5777,-70.74611
168,2022-04-17 08:00:39.024002,41.5777,-70.74611
169,2022-04-17 08:20:39.033597,41.5777,-70.74611
170,2022-04-17 08:40:39.043201,41.5777,-70.74611
171,2022-04-17 09:00:38.966405,41.5777,-70.74611
172,2022-04-17 09:20:38.976000,41.5777,-70.74611
173,2022-04-17 09:40:38.985604,41.5777,-70.74611
174,2022-04-17 10:00:38.995199,41.5777,-70.74611
175,2022-04-17 10:20:39.004803,41.5777,-70.74611
176,2022-04-17 10:40:39.014398,41.5777,-70.74611
177,2022-04-17 11:00:39.024002,41.5777,-70.74611
178,2022-04-17 11:20:39.033597,41.5777,-70.74611
179,2022-04-17 11:40:39.043201,41.5777,-70.74611
180,2022-04-17 12:00:38.966405,41.5777,-70.74611
181,2022-04-17 12:20:38.976000,41.5777,-70.74611
182,2022-04-17 12:40:38.985604,41.5777,-70.74611
183,2022-04-17 13:00:38.995199,41.5777,-70.74611
184,2022-04-17 13:20:39.004803,41.5777,-70.74611
185,2022-04-17 13:40:39.014398,41.5777,-70.74611
186,2022-04-17 14:00:39.024002,41.5777,-70.74611
187,2022-04-17 14:20:39.033597,41.5777,-70.74611
188,2022-04-17 14:40:39.043201,41.5777,-70.74611
189,2022-04-17 15:00:38.966405,41.5777,-70.74611
190,2022-04-17 15:20:38.976000,41.5777,-70.74611
191,2022-04-17 15:40:38.985604,41.5777,-70.74611
192,2022-04-17 16:00:38.995199,41.5777,-70.74611
193,2022-04-17 16:20:39.004803,41.5777,-70.74611
194,2022-04-17 16:40:39.014398,41.5777,-70.74611
195,2022-04-17 17:00:39.024002,41.5777,-70.74611
196,2022-04-17 17:20:39.033597,41.5777,-70.74611
197,2022-04-17 17:40:39.043201,41.5777,-70.74611
198,2022-04-17 18:00:38.966405,41.5777,-70.74611
199,2022-04-17 18:20:38.976000,41.5777,-70.74611
200,2022-04-17 18:40:38.985604,41.5777,-70.74611
201,2022-04-17 19:00:38.995199,41.5777,-70.74611
202,2022-04-17 19:20:39.004803,41.5777,-70.74611
203,2022-04-17 19:40:39.014398,41.5777,-70.74611
204,2022-04-17 20:00:39.024002,41.5777,-70.74611
205,2022-04-17 20:20:39.033597,41.5777,-70.74611
206,2022-04-17 20:40:39.043201,41.5777,-70.74611
207,2022-04-17 21:00:38.966405,41.5777,-70.74611
208,2022-04-17 21:20:38.976000,41.5777,-70.74611
209,2022-04-17 21:40:38.985604,41.5777,-70.74611
210,2022-04-17 22:00:38.995199,41.5777,-70.74611
211,2022-04-17 22:20:39.004803,41.5777,-70.74611
212,2022-04-17 22:40:39.014398,41.5777,-70.74611
213,2022-04-17 23:00:39.024002,41.5777,-70.74611
214,2022-04-17 23:20:39.033597,41.5777,-70.74611
215,2022-04-17 23:40:39.043201,41.5777,-70.74611
216,2022-04-18 00:00:38.966405,41.5777,-70.74611
217,2022-04-18 00:20:38.976000,41.5777,-70.74611
218,2022-04-18 00:40:38.985604,41.5777,-70.74611
219,2022-04-18 01:00:38.995199,41.5777,-70.74611
220,2022-04-18 01:20:39.004803,41.5777,-70.74611
221,2022-04-18 01:40:39.014398,41.5777,-70.74611
222,2022-04-18 02:00:39.024002,41.5777,-70.74611
223,2022-04-18 02:20:39.033597,41.5777,-70.74611
224,2022-04-18 02:40:39.043201,41.5777,-70.74611
225,2022-04-18 03:00:38.966405,41.5777,-70.74611
226,2022-04-18 03:20:38.976000,41.5777,-70.74611
227,2022-04-18 03:40:38.985604,41.5777,-70.74611
228,2022-04-18 04:00:38.995199,41.5777,-70.74611
229,2022-04-18 04:20:39.004803,41.5777,-70.74611
230,2022-04-18 04:40:39.014398,41.5777,-70.74611
231,2022-04-18 05:00:39.024002,41.5777,-70.74611
232,2022-04-18 05:20:39.033597,41.5777,-70.74611
233,2022-04-18 05:40:39.043201,41.5777,-70.74611
234,2022-04-18 06:00:38.966405,41.5777,-70.74611
235,2022-04-18 06:20:38.976000,41.5777,-70.74611
236,2022-04-18 06:40:38.985604,41.5777,-70.74611
237,2022-04-18 07:00:38.995199,41.5777,-70.74611
238,2022-04-18 07:20:39.004803,41.5777,-70.74611
239,2022-04-18 07:40:39.014398,41.5777,-70.74611
240,2022-04-18 08:00:39.024002,41.5777,-70.74611
241,2022-04-18 08:20:39.033597,41.5777,-70.74611
