new_index,L_sonic1,L_sonic2,L_sonic3,L_sonic4
1604,-120.00535447169212,-105.38904664126599,-136.78104093772427,-67.43807231447082
1605,-63.522053314050055,-81.32368531671905,-63.57559766620059,23.709883937492133
1606,-49.127341032178386,-40.941822812645185,-47.47804458280602,125.16273668339657
1607,-50.91297127270614,-59.27110218952842,-62.82101470452731,-277.48472383139796
1608,-154.47822646546396,-145.6795163230341,-151.9196559865752,-279.4772854615165
1609,-241.01947712789777,-264.84830890376,-283.1138650064139,-247.77913474420097
1610,-182.39125733250305,-205.0961862475064,-171.8930720216287,-228.1100511276175
1611,-236.9904221909915,-234.87901679135098,-234.37015327889702,-236.71425710531034
1612,-218.58896460214493,-218.68521327639994,-214.7651658046512,-227.50675021942664
1613,-198.26261085329057,-191.67170525124644,-174.30629392396403,-153.49471576879156
1614,-204.3058426725668,-204.69980189600446,-204.6622341140395,-219.1119371571338
1615,-193.72402944037194,-229.65898293040627,-228.8831982327571,-228.7133520358084
1616,-232.9127974586487,-228.14607495196174,-202.8779048687071,-192.56130087610515
1617,-308.8353269561321,-297.9170981232009,-302.6383197598585,-228.8160419721422
1618,-306.31984229456555,-307.820795566914,-295.06681181340775,-232.81649450689315
1619,-290.56913404776157,-272.7847284717432,-271.363099747607,-242.89364938856005
1620,-259.8159427750174,-278.0894143071465,-264.67879801318173,-262.31741974707194
1621,-225.26969299114978,-232.3040644682023,-209.6153391725158,-228.91873190847596
1622,-239.45754821316245,-244.45140741214598,-228.19595249768474,-194.29693008790144
1623,-273.42574183082473,-273.05606567774606,-264.90117645953495,-220.0838923365098
1624,-284.77907556457075,-277.05602624893726,-255.43448964221713,-242.51998033071507
1625,-284.3584860757486,-297.03946534457106,-267.4588709331341,-300.31996438258307
1626,-287.2089387468121,-279.48391654798826,-257.5995815236534,-227.7840162760709
1627,-306.1207514128358,-296.7119832937307,-288.3153606434091,-260.5519388952205
1628,-231.42761531078588,-236.9139212806315,-222.0545403562052,-200.7698238780383
1629,-289.8125647450659,-284.76734341773874,-251.08441335869495,-225.29201079215002
1630,-303.7198268338136,-345.9160699979702,-330.5848751675789,-347.11723919968057
1631,-301.025764029994,-313.7670155236591,-248.22549228703497,-341.26473763703046
1632,-275.96452953580916,-251.63476769253415,-214.12996497459977,-204.99772373044019
1633,-296.27352490648246,-299.91285637910136,-286.13512403087776,-316.5646834780394
1634,-292.05387364613125,-325.7562369012974,-312.1902438506251,-390.71802261143415
1635,-268.3032398329534,-254.91958451138993,-202.79962465318332,-219.75214822048693
1636,-310.704782095553,-198.62312758001792,-314.89403737945753,-431.24657359199364
1637,-288.151348945496,-268.69924475438967,-246.9844812125897,-314.26394810673474
1638,-284.5400322357553,-252.70591947378904,-237.81167985034358,-289.35838269023566
1639,-235.03698060051744,-238.26946358640413,-242.04582992621894,-221.80875420446682
1640,-242.55755364938472,-223.2532259187484,-232.1803549670267,-201.77471640394845
1641,-258.0479043794522,-236.20985856375435,-252.5642082301047,-303.79326828029974
1642,-261.68867100159997,-255.34742899989047,-280.5818726059793,-256.98670889476256
1643,-224.02407905804282,-219.4503348774898,-213.0060379436987,-268.18087243115417
1644,-159.32125389476477,-175.79463276522202,-184.997209238628,-298.6517992294391
1645,-167.0711228181011,-155.6053337629281,-144.91579032451182,-130.75880095421067
1646,-160.77450703073615,-162.55807668291166,-184.17091290140525,-179.10973017318426
1647,-158.15503410300263,-179.74849108308314,-182.41992761726993,-167.0220018619433
1648,-168.75936413336262,-222.8844818676542,-222.44772889917215,-159.8139261628185
1649,-160.39334895235916,-152.01535637394937,-148.97942719629833,-130.50332704829185
1650,-141.6392429523693,-152.6744079650633,-157.61592321483707,-164.70187328033006
1651,-133.59605927985533,-149.48830908721834,-140.1428066606092,-100.06183835588209
1652,-135.34368608046066,-141.21980978702234,-160.45532063423138,-165.50746261905076
1653,-140.6377796617467,-126.23715390519065,-127.70158220992737,-140.29641298773805
1654,-145.1829421320565,-149.36508030721163,-167.8661647430556,-168.10809110599862
1655,-159.19434744724154,-160.12712168186513,-158.09502569721707,-147.38996697119916
1656,-165.0784127182937,-166.54740173429752,-180.48405700355372,-153.47156241010828
1657,-189.5775378604121,-206.92978867921775,-181.0546563067087,-146.05084767325897
1658,-166.0307834022883,-166.74716792351362,-146.21238439325717,-188.38477738701746
1659,-180.71195019787154,-171.84636738869816,-206.30741422008023,-109.03518334009293
1660,-229.081900243663,-262.1108864285077,-255.92475414402588,-187.44436783268557
1661,-208.78873833856707,-231.34386936386596,-252.9451703672956,-183.56460201871434
1662,-240.7353057069307,-238.56226826782435,-283.03601910829326,-214.00054851053653
1663,-220.2582260799219,-201.36514581407167,-216.61883398058296,-202.78714607161294
1664,-185.61589338866423,-186.9576029721226,-193.02611004459445,-172.86486778080484
1665,-209.2938767816786,-204.70283496686977,-271.6553577045138,-225.63122397509952
1666,-193.82600908299858,-225.64878427365173,-280.6871900586745,-196.63734006961846
1667,-241.54505417972356,-221.8782764892878,-246.65396487274614,-156.22763595314962
1668,-236.3087310566034,-297.47589682761,-322.1930916195004,-201.82571903566742
1669,-201.33689488289986,-215.0057486308515,-209.78622033582806,-128.75867284170081
1670,-206.06862942083865,-241.9032831225288,-276.5114174777626,-191.39577836517788
1671,-215.32397325235198,-225.87569287263602,-239.49729145271584,-199.95516467015435
1672,-225.82957893815257,-201.60880350788844,-171.45795043884263,-152.71060982853805
1673,-198.6755192008314,-227.20588402029313,-199.84556317237502,-175.49494968012763
1674,-228.27950945940054,-261.00681655103836,-275.42066910154045,-269.23008741169554
1675,-176.85231623051556,-206.2786380945666,-195.42436893490336,-158.60993344780047
1676,-214.4317863559669,-256.3409125592399,-254.36782119153563,-248.42069890389098
1677,-213.16345228513708,-211.90404742468763,-201.44495017740968,-240.59012310269864
1678,-186.76734655464813,-203.31743373914233,-197.1366838486078,-184.3186652884174
1679,-255.45023153699043,-273.93706549056554,-266.94123061541165,-247.6546605556611
1680,-349.5634398026074,-366.8324670553422,-366.9851881226106,-265.9633754360923
1681,-268.5164886322339,-299.64175556578857,-298.08108427796185,-332.01274412401744
1682,-355.2302226573619,-381.7946250920047,-361.796821118865,-411.6310973851451
1683,-379.02145335406277,-385.72268597753686,-365.5320094661611,-383.85703080073654
1684,-432.97098293598145,-442.6898290552268,-413.75428617073766,-462.4102976001832
1685,-435.75921874169717,-412.1649236047079,-386.04751221311386,-421.1307342531765
1686,-439.9736707324629,-409.48818886624974,-406.21132085523095,-470.6762793628349
1687,-407.14571047957975,-432.6183289480271,-413.2232383134347,-503.8882787156809
1688,-373.3237076347045,-411.56106745086754,-400.6740631835901,-480.92008723345907
1689,-356.065383985049,-358.62460131952565,-353.7977510555524,-390.8407738054423
1690,-329.3397869163648,-343.13249570044854,-326.6181049243599,-376.4589447977479
1691,-343.8932173911025,-340.5793722671538,-305.3780714649053,-360.96948789244703
1692,-314.678839651073,-338.01780638641526,-313.3696774382515,-363.37307152215953
