new_index,Ubar,U_horiz,U_streamwise,Umedian,Tbar,Tmedian,UpWp_bar,VpWp_bar,WpTp_bar,WpEp_bar,TKE_bar
7942,6.437865167214036,6.475584495334791,6.482108391181692,6.434712020628541,278.7963536458333,278.71,-0.0397149547675031,-0.0036599495596181,0.0539529802886123,0.0230177186588604,0.4975159655695257
7943,6.133028513268971,6.176349875244814,6.185529858908708,6.11256258287445,278.91549609375,278.82,-0.083170668670873,-0.0098977466377468,0.0852024028790162,0.0306205021647955,0.6237849983595786
7944,5.835363892186447,5.880814171687516,5.888070401820654,5.810509396173331,278.8940671875,278.79999999999995,-0.0482989392394828,-0.0246856082933326,0.0618926338344888,0.0158227271781671,0.5075424508727349
7945,6.741953773923779,6.805139035207934,6.813101689978618,6.785934819959348,278.94019296875,278.84,-0.0634435026970244,0.0098365344443873,0.0757413199309129,0.0446944830505238,0.7395663330335489
7946,6.654893899561736,6.703773356394843,6.711581426737792,6.623592666354073,278.8390880208333,278.76,-0.0719829146651763,0.0030522764635956,0.0803069222671251,0.0237215708600374,0.6790538929211087
7947,6.629778808304174,6.6844631018387055,6.692134545106933,6.611761752972135,278.705565625,278.62,-0.0482548484617809,0.0128004680919902,0.0723448878190659,0.0191618004839302,0.6472114671597969
7948,6.01141464460969,6.058847420054998,6.066158320675486,5.97411471007527,278.7153856770833,278.63,-0.045967848784928,-0.01164234157647,0.0658218540029985,0.0266274464895474,0.5648347937046645
7949,5.980180410934392,6.024755407198282,6.032161791957994,5.952897602847799,278.6106703125,278.51,-0.0462189767970798,-0.0161673210282416,0.0654503578850728,0.0226657957160176,0.5385647798653157
7950,5.697313680494619,5.763932404663584,5.770589434804198,5.654127930122225,278.7592111979166,278.67999999999995,-0.0383386884239902,0.0003874071979817,0.0465931529456017,0.0167992271502174,0.6721464625035942
7951,6.049766739956649,6.102527202340761,6.10998473637307,6.012020937738011,279.10416067708326,279.03,-0.0478370522327646,-0.0256274439235261,0.064010615137508,0.0142409441589521,0.6096810788280571
7952,6.4519649107498775,6.48822135735088,6.494999368621545,6.408589051868034,279.34257109374994,279.25,-0.0436086949323974,0.0046916811798056,0.0688962764344375,0.0262503274052501,0.5257829992844646
7953,6.152151969130007,6.229553605856128,6.23705364408559,6.17355766682398,279.56412656249995,279.48,-0.0561783369076365,0.0085023999428087,0.0655966384069776,0.0337154019051851,0.7662987543300714
7954,7.0511956361521335,7.101477685059817,7.108687702351841,7.042799385003953,279.6551223958333,279.59,-0.0557977803576252,-0.0103916035773177,0.0594199793734933,0.0120657477705769,0.7886161719047377
7955,7.313044854624313,7.387884977840958,7.395969479301146,7.240851248914391,279.91223463541667,279.86,-0.0941943043237473,-0.0354343561527239,0.072018115639224,0.0091908507913946,1.1976625012575275
7956,7.399540537690741,7.530983675085912,7.538431125025806,7.372563714380607,279.9371479166666,279.89,-0.0666727524053937,-0.0338979899838983,0.0698714129385663,-0.0169014878611945,1.4484095790727065
7957,7.727340397279176,7.795487186573179,7.803602915662584,7.718169948844841,280.0993859375,280.04,-0.109536798700797,0.0162089180195436,0.0629945397064307,0.0190966841121905,1.1742395533306884
7958,7.615092183348827,7.686228084391455,7.694638071177505,7.514072108569387,280.2819291666666,280.22,-0.0959092798250315,0.0088331799285018,0.0812783223065826,-0.0198342669598963,1.093213475821567
7959,7.8832598225622705,7.986835924771239,7.99577397933887,7.841336978752556,280.44713515625,280.4,-0.0849555804601128,-0.0067146087454807,0.0700393229973877,-0.0041513446769553,1.3496420826819189
7960,8.127321430748307,8.211449769940858,8.21958028714007,8.103568894874154,280.5641544270833,280.54,-0.0945900011844188,-0.0218608706587272,0.059385284839398,0.0265645531948369,1.2760309494941795
7961,8.510916259608527,8.64215269273792,8.65122168972216,8.438337534832486,280.74561692708335,280.7,-0.1121338335271998,0.0319850654780441,0.0731931692623526,0.066455300046871,1.667934447834642
7962,9.188325955617492,9.29618264467547,9.305127093203934,9.246516979696462,280.9666697916666,280.94,-0.1530663778513083,0.0051990681629402,0.0638016763434542,0.0045768494474612,1.811758734365472
7963,9.743386914827465,9.795860462962075,9.805376734091244,9.828335195373604,281.08331432291664,281.04,-0.1573092165657525,-0.0238748205574227,0.0747343860260973,0.047449668218847,1.5180798219301688
7964,10.203391241966768,10.27886559564006,10.290168492271222,10.262819059562284,281.14958359375,281.12,-0.1830002306686785,-0.0031582487279305,0.0847982980946217,0.0465187946817519,1.576453522001919
7965,9.794706474670424,9.843799653763616,9.854457353343204,9.828078140730348,280.96157109375,280.92,-0.1487988618426019,-0.0054906716156189,0.0785168128270516,0.0406044496873232,1.159215374165243
7966,8.966960770765462,9.039910425259578,9.04958413009381,8.96378712854123,280.9536942708333,280.91,-0.1318151369765564,-0.0253188506338625,0.0740821679090888,0.0738544821547647,1.298181245229594
7967,9.295003745095874,9.403109381781324,9.413378870626318,9.29128729985938,281.0196372395833,280.98,-0.1550441594806021,-0.0190213167996553,0.0836352262084674,0.0361659799448483,1.7164718747513497
7968,8.338241714170342,8.439113122644306,8.447904299418136,8.296285167404731,280.98211171875,280.94,-0.1132911932716324,-0.039952925485897,0.0753554640088662,-0.0180165598882386,1.5849780649829102
