,z0_s1,z0_s2,z0_s3,z0_s4
103,0.00021300538526746794,7.285206740486961e-05,7.96684188677561e-05,0.00013056543695356775
104,0.00022353543327758657,0.00011478125907740653,0.00017463286397868325,0.00020960886864839002
105,0.00043964910787271154,0.00020035617186472653,0.0002753695525565438,0.0003702663505329763
106,0.00037962280035541164,0.0002222338785100993,0.00040474383443473886,0.0003199365246965716
107,0.0002854964485124631,0.00014186042898149917,0.00014335241742093055,0.0002433442577815147
108,0.00040144882224456437,0.00020146058841529111,0.00014360383221828722,0.0004259134508244096
109,0.0006399868050103605,0.00026620689109047924,0.0004464665488778828,0.0004312195670552438
110,0.00039753418047130956,0.00010463502855318194,0.0001450550900621135,0.00019319369228816078
111,0.0005116132334420994,0.00017972358606398476,0.0002058640508855181,0.0001606784820181046
112,0.00013235132580668866,6.780415183161299e-05,0.00010520183728838843,9.643039653177295e-05
113,0.0002400511901734641,0.00012237763329819496,0.0001656814568910963,0.00014673736387339274
114,0.0005155203622066131,0.00020801930881415653,0.00012538835416608506,0.00011428936501225347
115,0.00022475175455266208,4.5534879263093576e-05,7.010856781665459e-05,0.00012344482927072108
116,0.00017561748992613228,5.917462610730984e-05,6.24521376326852e-05,5.711906328345059e-05
117,0.0003005444887279222,0.0001594076120512228,0.000174985439528283,0.00011343552111853228
118,0.0004460854891056636,0.00012854432403556942,0.00012645383409546037,7.115015034444605e-05
119,0.00033134692982504546,2.6311769143994235e-05,2.3406438810996666e-05,4.631655070620752e-06
120,0.00017697782100623997,0.000105332782251246,6.55095395555931e-05,0.00021926882200057636
121,0.00017574351118431516,3.494916665925533e-05,2.4531144723643882e-05,6.733500956008868e-06
122,0.00016992273529134542,5.953582149155633e-05,0.00013987184346567574,0.00021320865235419843
123,0.00047755135666682183,6.0670476246222804e-05,2.237154855399669e-05,6.000792219716498e-06
124,0.0005870591123742143,6.922975518532131e-05,1.7736164893392334e-05,1.9294089160615823e-08
