,p1_avg [Pa],p2_avg [Pa],p3_avg [Pa],p1_avg [mb],p2_avg [mb],p3_avg [mb]
20,101688.91088509896,101693.2469365146,101695.2553301099,1016.8891088509895,1016.9324693651458,1016.9525533010989
21,101692.54753071666,101696.89977353804,101698.86240637707,1016.9254753071667,1016.9689977353803,1016.988624063771
22,101693.499860025,101697.89183709792,101699.81729377656,1016.9349986002501,1016.9789183709792,1016.9981729377655
23,101688.57000673177,101692.9958864047,101694.89908533386,1016.8857000673178,1016.9299588640469,1016.9489908533386
24,101720.90309685834,101725.45117040937,101727.20354978021,1017.2090309685833,1017.2545117040937,1017.272035497802
25,101762.43712174584,101766.83615226146,101768.55498606876,1017.6243712174584,1017.6683615226145,1017.6855498606875
26,101787.52929911355,101791.90014083179,101793.59005960313,1017.8752929911356,1017.9190014083177,1017.9359005960312
27,101815.9503139797,101820.5196593901,101822.06015907605,1018.1595031397968,1018.205196593901,1018.2206015907605
28,101844.41325660833,101849.1270723828,101850.54006737031,1018.4441325660833,1018.4912707238282,1018.5054006737032
29,101850.47345228438,101855.22569554324,101856.54714037396,1018.5047345228439,1018.5522569554322,1018.5654714037396
30,101850.03222538282,101854.7992783552,101856.0214141224,1018.500322253828,1018.547992783552,1018.5602141412239
31,101857.67039837917,101862.45517265522,101863.2989277401,1018.5767039837917,1018.6245517265521,1018.632989277401
32,101851.89445763438,101856.66142282606,101857.65256742813,1018.5189445763439,1018.5666142282604,1018.5765256742812
33,101831.67807106822,101836.47964148906,101837.56901640467,1018.3167807106823,1018.3647964148906,1018.3756901640468
34,101833.25326321302,101837.67597142188,101838.78625144584,1018.3325326321301,1018.3767597142188,1018.3878625144584
35,101815.3142385125,101819.62196317031,101820.79882365833,1018.153142385125,1018.1962196317032,1018.2079882365833
36,101811.41221027657,101815.22395086719,101816.17383953177,1018.1141221027657,1018.1522395086719,1018.1617383953176
37,101808.9533763698,101813.23742491874,101814.23987432657,1018.089533763698,1018.1323742491876,1018.1423987432656
38,101794.09200684115,101799.73462003177,101800.42159408229,1017.9409200684115,1017.9973462003177,1018.0042159408229
39,101775.61680252186,101781.33521374011,101781.86608949062,1017.7561680252188,1017.813352137401,1017.8186608949063
40,101780.68697710936,101786.26314903646,101786.85432716302,1017.8068697710937,1017.8626314903646,1017.8685432716302
41,101775.41285699532,101780.90556347134,101781.69336399375,1017.7541285699532,1017.8090556347136,1017.8169336399374
42,101747.66910893541,101753.24076893697,101753.83672747553,1017.4766910893542,1017.5324076893696,1017.5383672747552
43,101725.94139460834,101731.7307308474,101732.01086832813,1017.2594139460833,1017.317307308474,1017.3201086832812
44,101718.20059038333,101723.95618320887,101724.31249155417,1017.1820059038334,1017.2395618320885,1017.2431249155419
45,101703.20471546928,101709.01258538387,101709.30439611562,1017.0320471546927,1017.0901258538386,1017.0930439611561
46,101681.54026634844,101687.4464650599,101687.44710787239,1016.8154026634844,1016.8744646505991,1016.874471078724
47,101681.51694037135,101687.6314135651,101687.26797618438,1016.8151694037136,1016.876314135651,1016.8726797618438
48,101683.87791909635,101689.86987051147,101689.74959366614,1016.8387791909637,1016.8986987051146,1016.8974959366616
49,101680.82130092553,101687.17614135782,101686.44174010363,1016.8082130092553,1016.8717614135783,1016.8644174010365
50,101687.49830638958,101694.07788151561,101692.79050157189,1016.8749830638959,1016.9407788151562,1016.9279050157188
51,101722.83808123281,101728.93118182708,101728.26074209374,1017.2283808123282,1017.2893118182708,1017.2826074209374
52,101724.97691317499,101731.06317595938,101730.49947423751,1017.24976913175,1017.3106317595938,1017.304994742375
53,101727.64496447345,101731.85249004113,101733.47286326093,1017.2764496447344,1017.3185249004114,1017.3347286326093
54,101731.1069296578,101734.23717474687,101737.08244155157,1017.311069296578,1017.3423717474687,1017.3708244155157
55,101728.66629708698,101731.92992283491,101734.76799936665,1017.2866629708698,1017.3192992283489,1017.3476799936666
56,101717.63404808489,101721.01673712136,101723.82729600887,1017.176340480849,1017.2101673712135,1017.2382729600886
57,101696.60729470468,101700.07045084427,101702.81345164323,1016.9660729470469,1017.0007045084426,1017.0281345164321
58,101734.86766788126,101737.95403927448,101741.08315072708,1017.3486766788125,1017.3795403927446,1017.4108315072709
59,101752.79373350156,101755.95058872655,101759.03689292188,1017.5279373350157,1017.5595058872656,1017.5903689292188
60,101767.64845740938,101770.56942393229,101773.76499748802,1017.6764845740937,1017.705694239323,1017.7376499748802
61,101801.67326297969,101804.72594499218,101807.90987714012,1018.0167326297968,1018.047259449922,1018.0790987714012
62,101857.75221655886,101860.30820414166,101863.57024289532,1018.5775221655887,1018.6030820414168,1018.6357024289532
63,101851.1135063677,101853.77578473176,101857.01567738022,1018.511135063677,1018.5377578473176,1018.570156773802
64,101863.66989691978,101866.83421921718,101869.95251531301,1018.6366989691978,1018.6683421921718,1018.6995251531301
65,101895.89621592031,101898.90477895364,101902.09549166667,1018.9589621592032,1018.9890477895365,1019.0209549166667
66,101888.4774585943,101891.57467264583,101894.73171413281,1018.8847745859428,1018.9157467264583,1018.9473171413282
67,101880.81892355104,101884.20569055573,101887.15972498072,1018.8081892355104,1018.8420569055572,1018.8715972498073
68,101845.62914983177,101849.3940377198,101852.05184339323,1018.4562914983177,1018.493940377198,1018.5205184339322
69,101832.0527278474,101836.04802527605,101838.53579130572,1018.320527278474,1018.3604802527605,1018.3853579130573
70,101803.61850265988,101807.68022076512,101810.18241878645,1018.0361850265988,1018.076802207651,1018.1018241878645
71,101773.7603225099,101777.43878160727,101779.6175733526,1017.737603225099,1017.7743878160729,1017.7961757335261
72,101762.55816984583,101766.13402868333,101767.92894683749,1017.6255816984582,1017.6613402868333,1017.6792894683749
73,101776.18459551458,101779.58627125625,101781.55559852759,1017.7618459551458,1017.7958627125624,1017.815555985276
74,101767.55436582291,101770.85918768386,101772.92736343801,1017.6755436582291,1017.7085918768385,1017.7292736343803
75,101763.69599288073,101766.83254625,101769.25281408802,1017.6369599288073,1017.6683254625,1017.6925281408802
76,101736.72828935832,101740.11051035626,101742.56676503646,1017.3672828935834,1017.4011051035626,1017.4256676503645
77,101732.94021692606,101736.16712953645,101739.25018584689,1017.3294021692604,1017.3616712953647,1017.3925018584686
78,101716.06004368073,101719.32981712135,101722.09512358489,1017.1606004368074,1017.1932981712134,1017.2209512358488
79,101686.69022794269,101690.3209911328,101692.84997145104,1016.8669022794271,1016.903209911328,1016.9284997145104
80,101656.37327849687,101659.96980014947,101662.35476733126,1016.5637327849688,1016.5996980014947,1016.6235476733125
81,101644.99894279115,101648.70715077134,101651.04780399689,1016.4499894279115,1016.4870715077136,1016.5104780399687
82,101634.07571618073,101638.3055607474,101639.40665411875,1016.3407571618072,1016.3830556074739,1016.3940665411875
83,101638.98980884219,101643.50038486772,101644.22095413282,1016.3898980884219,1016.4350038486772,1016.4422095413281
84,101629.28738503646,101633.63617042656,101634.64719033412,1016.2928738503645,1016.3363617042655,1016.3464719033412
85,101659.03143162031,101662.78072683803,101664.72362662501,1016.5903143162031,1016.6278072683803,1016.64723626625
86,101667.41523448803,101671.06747165782,101673.34434735417,1016.6741523448803,1016.7106747165781,1016.7334434735418
87,101619.03617197917,101623.23511939011,101624.71597630155,1016.1903617197916,1016.2323511939011,1016.2471597630156
88,101584.56760164896,101589.24115610677,101589.98744448177,1015.8456760164895,1015.8924115610678,1015.8998744448178
89,101575.52053217814,101580.3232079073,101580.89193769453,1015.7552053217811,1015.803232079073,1015.8089193769454
90,101590.63911164792,101595.59952443386,101596.074701825,1015.9063911164791,1015.9559952443384,1015.96074701825
91,101644.57937110416,101648.34791347812,101650.42020897187,1016.4457937110417,1016.4834791347813,1016.5042020897187
92,101652.88227246875,101657.03144670364,101659.26243506666,1016.5288227246876,1016.5703144670363,1016.5926243506667
93,101659.78175766562,101663.9118968073,101666.31219575262,1016.5978175766562,1016.6391189680729,1016.6631219575261
94,101645.38766644792,101649.69965976772,101652.0545523276,1016.4538766644793,1016.4969965976769,1016.520545523276
95,101631.6557930776,101636.35533936198,101638.49461639428,1016.3165579307761,1016.3635533936198,1016.3849461639428
96,101657.1123348125,101661.66714636353,101663.91307777342,1016.5711233481248,1016.6166714636355,1016.6391307777345
97,101669.06233853646,101673.51238553072,101675.71589143282,1016.6906233853645,1016.7351238553073,1016.7571589143281
