,Ubar_s2,U_horiz_s2,U_streamwise_s2,Umedian_s2,Tbar_s2,Tmedian_s2,UpWp_bar_s2,VpWp_bar_s2,WpTp_bar_s2,WpEp_bar_s2,TKE_bar_s2
5418,9.35560378386664,9.375239685304301,9.385450449704711,9.342915867054696,291.30505364583337,291.29999999999995,-0.13113668716408314,0.013853216359461943,-0.015247587676348682,0.022444191351824728,0.7425714346269396
5419,9.556883881801932,9.577397693567915,9.588081714893637,9.553754724577402,291.36590390625,291.35999999999996,-0.13505811152302863,0.03282879057579679,-0.014906374106554513,0.04495372259181166,0.7473684106126234
5420,9.014098903292103,9.033068299875616,9.042803162626198,8.994073225897552,291.36891015625,291.37,-0.1333982543222198,0.024320199451801305,-0.014619074316445518,0.025183811595856108,0.7293816401670667
5421,8.954399240247094,8.976248246450442,8.986115889518542,8.927314602639612,291.3617674479166,291.35999999999996,-0.13202100348805795,0.012437656691429308,-0.015267510376157138,0.026594812187351383,0.7527768688320244
5422,8.991058190606582,9.010036674280016,9.019250846370332,8.986569057159201,291.4037325520833,291.4,-0.11169665313727717,0.029727588434704088,-0.012590067699121996,0.011191730721390283,0.6496072479693943
5423,8.805542019865259,8.825466940297574,8.83454350835495,8.767795624618536,291.30244921875004,291.29999999999995,-0.10795820570281095,0.045196098200548866,-0.0116326637151992,0.010715751395638596,0.6568502392113917
5424,8.672269478748534,8.692155119521425,8.700568386265704,8.64690574414444,291.2568346354166,291.26,-0.07970795704115967,0.03503355399903833,-0.010593133654983437,0.011104312768974263,0.6047662315806409
5425,8.395210701920664,8.414371538981253,8.423472940044352,8.382638284835409,291.2185919270833,291.21,-0.09588124910485786,0.024707002381391074,-0.011951054553398848,0.007219866947465524,0.6189266768270534
5426,8.990071496537194,9.006340160218889,9.01534973149422,8.984195561500538,291.28308437499993,291.28,-0.10474624194702797,0.023983193463260867,-0.013419488290089933,0.018747618303127343,0.6442980591753134
5427,8.78462738232417,8.80260212605353,8.8115893136294,8.768793768959444,291.276396875,291.28,-0.1042181137891445,0.030214582345599296,-0.012652928775179009,0.010549403450482624,0.606166074193183
5428,9.08546941670117,9.105822829473297,9.115376355568289,9.044445352972273,291.30945130208335,291.31,-0.13588440875968058,0.03359861157914922,-0.01595243449258732,-0.0016826182193063635,0.8164276527476331
5429,9.114733077595357,9.135806737639435,9.145402109676262,9.141693143449025,291.34766640625,291.34999999999997,-0.11030621441485221,0.041385332224646,-0.013205602742436847,0.02089998814720453,0.7493740414360217
5430,8.811545218810986,8.834689617239286,8.844535265727142,8.795169729204272,291.284071875,291.28,-0.10674988429742517,0.054962044506112404,-0.013007630895107375,0.01878777681030256,0.7251851482005139
5431,9.727593691820385,9.756797976440117,9.768277233175986,9.7134829340741,291.2853145833333,291.28,-0.16385737908757997,0.0543388805232478,-0.01806732413440801,0.030918365993947927,1.0314398662406412
5432,9.160284568544379,9.183349988835273,9.1939074481117,9.135162149488783,291.3226859375,291.31,-0.131560915239566,0.03270728423106616,-0.014098268534645329,0.0013158998007362045,0.8385160261039566
5433,9.054990098136521,9.076918672413058,9.087342308729049,9.052604527526853,291.58406953125,291.58,-0.14526116928591568,0.03397883501209448,-0.019693127047923364,0.013752149825728163,0.7696926559391954
5434,8.997182802855082,9.019789415492214,9.030093265512038,8.970020377753613,291.74140026041664,291.73999999999995,-0.1269983843086736,0.04074915564615997,-0.01913229551953842,0.005321172499919866,0.7670740154628839
5435,8.203620209850094,8.220860593696933,8.22910867971931,8.171816498059812,291.7078877604166,291.7,-0.10644098882860996,0.026472989328940745,-0.01663515084358058,-0.0004109696662675629,0.6920425189346993
5436,8.596758306301421,8.617617056812572,8.626955636629559,8.47478137607316,291.85901875,291.84999999999997,-0.12177167547790516,0.0327157282146438,-0.019912415655468082,-0.014657782651889502,0.9253050340520222
5437,9.454056998505461,9.478882162499195,9.489332976090896,9.382667430273111,291.9626046875,291.95,-0.11683632242913944,0.03746976797107088,-0.018864463797043804,-0.003564704328606966,1.0005851470593263
5438,8.570272754559024,8.58643579619124,8.59654489684061,8.530497652907593,291.9107354166666,291.9,-0.11049925883268202,0.013484940512553592,-0.021629777744373215,-0.006941460968934146,0.6727562868305803
