,z/L,phi_eps
142,-0.1106935334157046,1.1624115008383837
143,-0.1108081622310611,0.7905246938730439
144,-0.1308272128786954,0.3292164969826225
145,-0.5673005013866598,1.544119626805985
146,-0.233186968748959,0.1577740933244342
147,-0.2009126952099993,0.16281004483491654
148,-0.060458125675185,0.41084350075562764
149,-0.088653802813423,0.4901850181148726
150,-0.2451234849527879,0.4794470376483343
151,-0.0548468688744592,
152,-0.0973375791019129,
153,-0.3840203691599868,0.7676486210066035
154,-0.3115409728919593,0.7396969823470882
155,-0.3024926317443483,0.5459205570449647
156,-0.7875286461878991,1.952058405164917
157,-0.1588301566285015,0.5862193319827516
158,-0.1659853155471192,0.49395874044811994
159,-0.0928591324708358,0.5223880576985417
160,-0.143563419773694,0.8775998594197578
161,-0.1802903143196497,0.9323300536999111
