,zL_I_dc,zL_II_dc,zL_III_dc,zL_1_dc,zL_2_dc,zL_3_dc,zL_4_dc
31,0.1524294204316547,0.23350014929481044,0.4171828356744186,0.06654371681117179,0.07222181092131981,0.07109146493763288,0.10281624554355379
32,0.18362516347791388,0.4215164814234003,0.45175843016023604,0.09317813340684317,0.08814948038419027,0.348830260703806,0.05781727245700945
33,0.31803870241125537,0.3369730176436175,0.5030713082408298,0.16351114729357571,0.16691210136538384,0.09226672187631652,0.15968035554506935
34,0.20622816282111944,0.21209136915139346,0.31484651662992164,0.06432802644944298,0.4850463747667399,0.04328521672367843,0.3883105632281732
35,0.2717128738055342,0.6621490180481789,0.9052320759954782,0.11931049359368753,0.23740687924283374,0.2963780296569617,0.19904992474918926
36,0.10116947147549517,0.11415746497200127,0.2231023248267547,0.08751589986703324,0.0472512975889457,0.047107217182777376,0.0862444524587106
37,0.050556257903843396,0.09776801642362151,0.10872485467140511,0.033374977603042304,0.029118757446511302,0.07041723451934453,0.019382361688744736
38,0.027898596969987085,0.06336950513163969,0.16779974491003186,0.013893169249256451,0.0242249389640395,0.03161315938836142,0.10079300775537609
39,0.030205143622802067,0.05567554305611742,0.0895251047426345,0.016781295942693886,0.022995575463098154,0.026012684980554774,0.025935999421229254
40,0.028645748743158395,0.06494680189983232,0.13440072981555728,0.015173591161033301,0.022439400669058075,0.0374376886215864,0.03955468407730004
41,0.027738545166426404,0.07620721903737789,0.17947227334691782,0.01316142102233913,0.025760459734912516,0.0447387018770044,0.05924671916254462
42,0.026683731856436785,0.05126272317473187,0.09839667328431007,0.014233670718835098,0.019756182916243915,0.023876903493280643,0.03212710539007104
43,0.02288402253216405,0.03685224663310564,0.06706047132549492,0.012683872212713443,0.014908665409859977,0.015020781756857539,0.02224130018712619
44,0.02501277712501543,0.04802806771716588,0.07986601402109612,0.012308974830085374,0.01890546306263035,0.01977740851902692,0.022628725855385484
45,0.020453619212072106,0.03493222447415614,0.062443404431152656,0.011051906466781568,0.012723063086696714,0.014633040862976555,0.01752965065413947
