,Unnamed: 0,eps_sonic1,MAD_value_1,MAD_criteria_met_1,eps_sonic2,MAD_value_2,MAD_criteria_met_2,eps_sonic3,MAD_value_3,MAD_criteria_met_3,eps_sonic4,MAD_value_4,MAD_criteria_met_4,epsU_sonic1_MAD,epsU_sonic2_MAD,epsU_sonic3_MAD,epsU_sonic4_MAD
27,27,0.0040092367579178,0.1408313100107194,True,0.0021471205934667,0.1266693071121701,True,0.0013074941519877,0.127405453386087,True,0.0008684941245132,0.1705858227930678,True,0.0040092367579178,0.0021471205934667,0.0013074941519877,0.0008684941245132
28,28,0.0042080004148522,0.1504298374529404,True,0.0020888719966021,0.1340601088604823,True,0.0012856025216719,0.1638228564616765,True,0.0007942651889671,0.1913400983294691,True,0.0042080004148522,0.0020888719966021,0.0012856025216719,0.0007942651889671
29,29,0.0047431657537911,0.1535535626599222,True,0.0021314251965576,0.1277406723337838,True,0.0015322535772119,0.1342078963378786,True,0.0010951905266925,0.1858909128696835,True,0.0047431657537911,0.0021314251965576,0.0015322535772119,0.0010951905266925
30,30,0.0080950986604231,0.1455995235470405,True,0.0037986306132131,0.1349932866568834,True,0.0030372646787062,0.149244967225875,True,0.0023417447247376,0.1928811066055601,True,0.0080950986604231,0.0037986306132131,0.0030372646787062,0.0023417447247376
31,31,0.0117730825238554,0.1544763519385444,True,0.0076026387464059,0.1444031405029506,True,0.0049884260618983,0.1427584821407858,True,0.0036479319538057,0.1895305794452318,True,0.0117730825238554,0.0076026387464059,0.0049884260618983,0.0036479319538057
32,32,0.0075745795786951,0.1354757375107244,True,0.0035237928027979,0.1378311859812406,True,0.0025764491426052,0.135004358457321,True,0.0019029072137564,0.1945148067820954,True,0.0075745795786951,0.0035237928027979,0.0025764491426052,0.0019029072137564
33,33,0.0040416596321635,0.1622705384112988,True,0.0027809262139452,0.1287360512310364,True,0.0022464451830806,0.1264453766803371,True,0.0021161084529701,0.1945949424256661,True,0.0040416596321635,0.0027809262139452,0.0022464451830806,0.0021161084529701
34,34,0.0084524835219098,0.2034542013652358,True,0.0050489514940603,0.1974937511268175,True,0.0039887753419816,0.1858213708256149,True,0.0036472515272237,0.2277496348831551,True,0.0084524835219098,0.0050489514940603,0.0039887753419816,0.0036472515272237
35,35,0.0065771567521643,0.1534455158009516,True,0.0042894650429599,0.1644740202164478,True,0.002620762608947,0.1498366031116851,True,0.001913907140446,0.199613315863473,True,0.0065771567521643,0.0042894650429599,0.002620762608947,0.001913907140446
36,36,0.0147887551134291,0.1621321300760018,True,0.008928698798427,0.1540911789674969,True,0.0074187162187247,0.1528811911834637,True,0.0060426800343304,0.2037314857646373,True,0.0147887551134291,0.008928698798427,0.0074187162187247,0.0060426800343304
37,37,0.0126786931932383,0.1477019719681398,True,0.0087276187645431,0.1618624676885362,True,0.0067272664460274,0.1759037059409567,True,0.0058137745052422,0.1981713493017916,True,0.0126786931932383,0.0087276187645431,0.0067272664460274,0.0058137745052422
38,38,0.0095301738401418,0.1331717329793421,True,0.0064127933520151,0.135695996924681,True,0.0045878852809765,0.1392716755288372,True,0.0033363238120566,0.1968322438201097,True,0.0095301738401418,0.0064127933520151,0.0045878852809765,0.0033363238120566
39,39,0.0141380779759872,0.126987529586963,True,0.0085415513303132,0.1377754802992229,True,0.0061253413180731,0.1354043382905411,True,0.0058083515251577,0.1836240974426226,True,0.0141380779759872,0.0085415513303132,0.0061253413180731,0.0058083515251577
40,40,0.0136715078918974,0.1294089622572955,True,0.007731912421628,0.1436546822846737,True,0.0068638765968704,0.1351701670584899,True,0.0052051824652797,0.1847078301569257,True,0.0136715078918974,0.007731912421628,0.0068638765968704,0.0052051824652797
41,41,0.0117509840407704,0.1461218244132967,True,0.0074813523094768,0.1409979655677785,True,0.006018039349984,0.1327237475770579,True,0.0049454105365545,0.1990821476412869,True,0.0117509840407704,0.0074813523094768,0.006018039349984,0.0049454105365545
42,42,0.0212244657682431,0.1327541939749318,True,0.0119354354309131,0.1388960917985656,True,0.0084544701286148,0.1401851601041122,True,0.0076963447467864,0.1872965927019764,True,0.0212244657682431,0.0119354354309131,0.0084544701286148,0.0076963447467864
43,43,0.0259538715199653,0.1352971221896549,True,0.0166561012866691,0.1281403124984858,True,0.0118658623639753,0.1372038788969071,True,0.0102296425241979,0.1836474947285453,True,0.0259538715199653,0.0166561012866691,0.0118658623639753,0.0102296425241979
44,44,0.0272649491937471,0.1471163380665294,True,0.015388999148429,0.1326899970248488,True,0.0105706647918622,0.121708209496901,True,0.0095805078102041,0.1858353022110438,True,0.0272649491937471,0.015388999148429,0.0105706647918622,0.0095805078102041
45,45,0.0230175511467104,0.1444967474742743,True,0.0132725072687629,0.1458405567101657,True,0.009964653406878,0.1394046603391573,True,0.0081940726415521,0.1829453718707942,True,0.0230175511467104,0.0132725072687629,0.009964653406878,0.0081940726415521
46,46,0.0297672167458616,0.1405159747730816,True,0.0167473468285719,0.1320660655158412,True,0.0103456105558774,0.1452123326597134,True,0.0096396327142643,0.1809714317296319,True,0.0297672167458616,0.0167473468285719,0.0103456105558774,0.0096396327142643
47,47,0.0357380698442284,0.1371578167272409,True,0.0188719101651506,0.1388751915198109,True,0.0124950789468079,0.1472647930113259,True,0.0118575128676566,0.1808734129020197,True,0.0357380698442284,0.0188719101651506,0.0124950789468079,0.0118575128676566
48,48,0.0324398095692819,0.1433457687585246,True,0.0187822534551182,0.1470405517094219,True,0.0134983145465751,0.1497345454600301,True,0.0115687510627316,0.1759290984274395,True,0.0324398095692819,0.0187822534551182,0.0134983145465751,0.0115687510627316
49,49,0.0463004679783088,0.136812222477799,True,0.0279134540445663,0.1310211647251615,True,0.0192730894448131,0.130520852284042,True,0.0153258756239458,0.1857522879382356,True,0.0463004679783088,0.0279134540445663,0.0192730894448131,0.0153258756239458
50,50,0.0630966137824081,0.1443071252778108,True,0.0333503868739705,0.1429984820992537,True,0.0239712549359261,0.1376541648626008,True,0.0206543521178688,0.1771304002520088,True,0.0630966137824081,0.0333503868739705,0.0239712549359261,0.0206543521178688
51,51,0.066801490123875,0.1369645309238536,True,0.027443842597362,0.1465813197048917,True,0.0189274276406999,0.1338133698192186,True,0.0150746270049172,0.1825564098855312,True,0.066801490123875,0.027443842597362,0.0189274276406999,0.0150746270049172
