,rho_bar_1,rho_bar_2,rho_bar_3
58,1.2517438889867991,1.2517818636420888,1.2515299523006005
59,1.2515055251775569,1.2515443528265215,1.2512713039454646
60,1.2515706904615351,1.2516066134306054,1.2512544703732456
61,1.251644705137272,1.2516822376566794,1.2513860233128913
62,1.2531423689839207,1.2531738149589684,1.2529152758120232
63,1.2544001806091123,1.2544329692782366,1.2541357176506784
64,1.2554234866507474,1.2554624854865002,1.2552413158823121
65,1.2561066232385212,1.2561437108553235,1.2558610765014973
66,1.2557722854488822,1.2558104585148173,1.25554427660885
67,1.2556509807550613,1.2556927216573819,1.2554190402131367
68,1.2555242829414905,1.2555706954209014,1.255281927757868
69,1.2540492329879276,1.2540984345854769,1.2537713629125085
70,1.2518867006804733,1.2519366479313927,1.2515914819816965
71,1.249820417992243,1.2498655908665879,1.2494692922483022
72,1.2489207987166373,1.2489646848428875,1.2485191902150585
73,1.250274618508916,1.250316406564315,1.2499960494049955
74,1.2512289323637908,1.2512695650463241,1.2509402149383864
75,1.251710915087538,1.2517494952319579,1.251454053376635
76,1.252103281982094,1.2521449079522142,1.2519475040460946
77,1.2523240710765697,1.2523637941036307,1.2521651012980344
78,1.2526158895884396,1.2526561562893455,1.2523173136003087
79,1.2523976108928978,1.252442328241204,1.2520894266630804
80,1.2517071471807415,1.2517514315842904,1.2514192043286045
81,1.2518202534137155,1.2518659222602082,1.2515396839574842
82,1.2517470533452368,1.2517991490172358,1.2514330295675336
83,1.2515761946119783,1.2516317375644233,1.2512830866867162
84,1.2509086556991573,1.250962182919767,1.2506480412843528
85,1.2518265995738314,1.2518727682950666,1.2515615034031364
86,1.252191241448926,1.2522362243904628,1.25184624102784
87,1.2511947846884812,1.251246484658287,1.250902146690891
88,1.2505401852723668,1.250597718299238,1.2502730432462557
89,1.250696899062695,1.2507560342914412,1.2504044662293954
90,1.250621851244299,1.2506829159317105,1.250326646805354
91,1.251766776746005,1.2518131868563098,1.251449764489794
92,1.2521731691902642,1.2522242792476974,1.2517974011659336
93,1.252178681646345,1.2522295539981838,1.251820824583329
94,1.2520538068243452,1.2521069213608236,1.2516808096562657
95,1.251994594231029,1.2520524876747348,1.2515904106641278
96,1.2527276648834094,1.2527837941429096,1.252412858917385
97,1.2526114683905956,1.252666295097675,1.252242009462819
98,1.2515502301391177,1.2516049324283876,1.2512052167737202
99,1.2502368861625075,1.2502912974279679,1.2497934613308699
100,1.2491062017981993,1.2491581553163056,1.248653659170956
101,1.2481665990025865,1.248220000323454,1.247707992209544
102,1.2484456992735564,1.2485017663536004,1.248024984497879
103,1.2485564007363823,1.2486146528097837,1.2481057639765973
104,1.247997590988303,1.2480551011604852,1.247526960845632
105,1.2477286838833297,1.2477905970661327,1.2472287436730622
106,1.246685245243158,1.246749258745827,1.2461469087851045
107,1.24608143575464,1.2461427685711892,1.2454514887067567
108,1.2445568065548216,1.2446157196508887,1.243923666143784
109,1.2432678391143548,1.2433280762427912,1.2426375856190701
110,1.242860285415674,1.2429231947595978,1.242277764142158
111,1.2437520732097342,1.2438076293704003,1.2432295278963268
112,1.24307729550032,1.2431354147492075,1.242479973875955
113,1.2433184737585,1.243377112126272,1.242781293401948
114,1.2420271484128742,1.2420859585834547,1.241433075486779
115,1.2413415869541755,1.2413994775393093,1.240685035179044
116,1.2407843063135908,1.2408455236934068,1.2400366214154581
117,1.2402257441734832,1.2402874144783462,1.2394737939753073
