,rh1,rh2,sw_dn,lw_dn,t1 [C],t2 [C],t1 [K],t2 [K],p_air [mb],p_air [Pa]
2647,93.67400000000002,95.14900000000002,193.40716666666668,340.7131122331635,14.857700000000005,14.909933333333331,288.0077,288.05993333333333,1052.0,10.52
2648,93.41183333333333,94.91675,134.64100000000002,342.2592944693154,14.921108333333335,14.982424999999997,288.0711083333333,288.13242499999996,1052.2925,10.522925
2649,93.22641666666668,94.75008333333335,83.62255,343.6321692741212,15.065374999999998,15.14175833333333,288.215375,288.2917583333333,1052.955,10.529549999999999
2650,93.77016666666668,95.32183333333334,43.811,344.9004689941784,15.001808333333331,15.064116666666662,288.1518083333333,288.21411666666665,1052.5366666666666,10.525366666666667
2651,94.30625,95.88533333333334,14.236729166666665,344.0279726383287,14.825033333333334,14.87176666666667,287.97503333333333,288.0217666666666,1052.0,10.52
2652,94.66916666666667,96.30675000000001,1.15846,343.3496090758391,14.807716666666668,14.849175000000002,287.95771666666667,287.999175,1051.845,10.51845
2653,94.47508333333334,96.10083333333333,-0.7531083333333334,345.0547996949326,15.028833333333331,15.092041666666665,288.17883333333333,288.24204166666664,1051.855,10.51855
2654,94.59375000000001,96.19266666666668,-1.1313066666666665,346.8443822366734,15.08155833333333,15.170908333333337,288.2315583333333,288.3209083333333,1052.0,10.52
2655,94.84708333333332,96.42158333333332,-1.0469499999999998,347.2645764632197,15.006583333333335,15.097733333333332,288.1565833333333,288.2477333333333,1052.0,10.52
2656,94.95575,96.50350000000002,-1.2416049999999998,346.2058179521888,14.977233333333334,15.058983333333332,288.1272333333333,288.2089833333333,1052.0,10.52
2657,95.10191666666668,96.67383333333333,-1.1133549999999999,345.4555456157623,14.882883333333332,14.963716666666667,288.0328833333333,288.1137166666666,1052.3283333333334,10.523283333333334
2658,95.15241666666667,96.77058333333333,-1.0466599999999997,346.29725927193056,14.901150000000003,14.978333333333333,288.05115,288.12833333333333,1053.0,10.53
2659,94.98141666666668,96.627,-0.8784816666666666,348.3774075873715,15.010266666666666,15.095666666666666,288.16026666666664,288.24566666666664,1052.3508333333334,10.523508333333334
2660,94.59008333333334,96.24516666666668,-1.01441,349.09554434869904,15.13528333333333,15.215341666666669,288.2852833333333,288.36534166666667,1052.0,10.52
2661,94.25591666666668,95.92458333333333,-1.0657258333333333,350.31716824703784,15.177874999999998,15.238825000000004,288.32787499999995,288.388825,1052.8208333333334,10.528208333333334
2662,93.96916666666667,95.66316666666667,-1.1233299999999997,350.2333290035889,15.0979,15.167358333333334,288.24789999999996,288.3173583333333,1053.0,10.53
