,alpha_s1,alpha_s2,alpha_s3,alpha_s4
6531,-15.537805645568664,-17.182784253305826,-18.215904513584643,73.57756374545625
6532,-9.898735207636893,-11.404208725666114,-12.48582684013457,79.37931925803508
6533,-4.943334681247028,-6.596575558058118,-8.034912693101727,83.922950006665
6534,-6.7138397350026695,-8.327519320454597,-9.728926097252902,82.20260167689422
6535,-4.929762137082582,-6.443981002890108,-7.976826893867837,83.79033962213761
6536,-15.15022888744836,-16.776655108317094,-17.886304330943112,74.05083125607082
6537,-15.74314948830874,-17.298203799870944,-18.38724052799219,73.48568101749993
6538,-16.869450294476838,-18.49171812789785,-19.47513086205417,72.42433951978336
6539,-18.78681616029671,-20.419265184171348,-21.4084557309412,70.3391774511843
6540,-22.39007062749964,-23.90114064736035,-24.68039038349423,66.93033208340483
6541,-27.78594726822734,-29.199676658009807,-29.66976838065101,62.01046329016811
6542,-28.438653994710144,-29.91798308282238,-30.76226590455304,60.62336115895258
6543,-33.09992753855451,-34.274944345062295,-35.23631349307914,56.000777428128046
6544,-35.58946116893319,-36.71432132332192,-37.57934575738413,53.86631867583161
6545,-36.03997617947621,-36.97957287877285,-37.81405546142644,53.67515918816902
6546,-34.04501816717887,-35.41181045976903,-36.48039613579047,54.91286208991352
6547,-33.631183736302084,-34.695315159373216,-35.29337790026742,56.26845529663136
6548,-31.758139723445037,-32.85849432834681,-33.50134994293581,58.09674351908878
6549,-31.760811403759803,-33.14183659996029,-34.08859619703336,57.42062067277468
6550,-31.11271097728981,-32.415543972885224,-33.003610637681675,58.61707256048151
6551,-28.95394699572133,-30.433522619333846,-31.32961456924261,60.19308804636909
6552,-30.63641408407126,-32.01570596059396,-32.846744494719225,58.58184643256412
6553,-37.92926711241258,-39.148603670586105,-40.49844123646041,50.80119048726672
6554,-40.06653140686465,-41.23500052796121,-42.53294100682872,49.06410838519042
6555,-36.83983588415741,-37.9294111430204,-39.047756591506456,52.33142227251962
6556,-47.03554105247224,-48.0433598395535,-49.497328135811415,42.41799320263963
6557,-41.78844227566528,-42.959788973133286,-44.28012156149127,47.48156801172072
6558,-34.348715715326875,-35.40354755291697,-36.37066808385719,54.98371202693679
6559,-33.028875285170166,-34.2832236021196,-35.09776867591295,56.40214697596072
6560,-31.32614261594013,-32.81669464801366,-34.00284304170133,57.32630503024344
6561,-14.647486666395114,-16.13852116195794,-17.191117045348562,74.78499508243574
6562,16.570111430644673,14.987920424292744,12.64905398052847,104.85110342661942
6563,20.16960546617414,18.619959662834944,16.364655435609134,108.30672189083772
6564,20.26261197935605,18.65683377968109,16.43952416777348,108.70163375306626
6565,8.705504889343155,7.177444448212107,5.124515705296755,97.1669723395824
6566,10.991500695139484,9.392955904071938,7.231740980476308,99.47681007308044
6567,9.329795734894168,7.569648622691155,5.258170372900561,97.29450116043505
6568,14.10440127891362,12.418222658907196,9.85685501158462,101.9590333594068
6569,16.774445137270376,15.13272016566214,12.895306613103692,105.0775190883316
6570,5.44987138253235,4.00860252502086,2.258409262150576,94.58898439469442
6571,9.65275210180015,8.182627607289604,6.231339349859776,98.25554027547702
6572,3.2292724670572195,1.4333479699483964,-0.5163930801622213,91.61845409433488
6573,8.193137843573094,6.759994301773709,4.896564323356314,97.06414283359396
6574,10.507480601811356,8.886751564689629,6.500900055962872,98.64846086519113
6575,11.396983102079291,9.710431909491346,7.458992158854358,99.68719936355753
6576,11.714811859634349,10.11636260385426,8.039181460652594,100.2476592967556
6577,8.569514670126939,7.018666608085129,4.8553539664660175,97.12322193633716
6578,6.956205059120619,5.186366897599707,3.184995309093801,95.55490420025482
6579,10.825676032741622,9.217314352074858,7.324804586732075,99.67501310747348
6580,17.65078482028245,15.892873634917258,13.52706795233922,105.61560962329231
6581,11.254434214678431,9.583344265337148,7.310103902016582,99.44221109880245
6582,3.138887302748929,1.2812345913674177,-0.6208059669737656,91.4464603597144
6583,1.72500856965872,-0.0670270214339448,-2.272500304346573,89.48950862952951
6584,-15.740044502515795,-17.439511546055915,-18.51432114087339,73.26447099584067
