new_index,z_sonic1,z_sonic2,z_sonic3,z_sonic4,z_met1,z_met2,z_paros1,z_paros2,z_paros3
17,1.5580000000000007,4.253000000000001,7.047999999999999,9.463,2.8729999999999984,5.428000000000002,1.878000000000001,3.9330000000000007,6.762999999999999
18,1.4805,4.1755,6.970499999999999,9.3855,2.795499999999998,5.350500000000001,1.8005000000000004,3.8555,6.685499999999998
19,1.4410000000000007,4.136000000000001,6.930999999999999,9.346000000000002,2.7559999999999985,5.311000000000002,1.761000000000001,3.8160000000000007,6.645999999999999
20,1.3735000000000004,4.0685,6.863499999999998,9.2785,2.688499999999998,5.243500000000001,1.693500000000001,3.7485,6.578499999999998
21,1.3645000000000005,4.059500000000001,6.854499999999999,9.2695,2.679499999999998,5.2345000000000015,1.6845000000000008,3.739500000000001,6.569499999999999
22,1.3520000000000003,4.047000000000001,6.841999999999999,9.257,2.666999999999998,5.222000000000001,1.6720000000000006,3.727,6.556999999999999
23,1.3430000000000004,4.038,6.832999999999998,9.248,2.657999999999998,5.213000000000001,1.6630000000000007,3.718,6.547999999999998
24,1.3525000000000005,4.047500000000001,6.842499999999999,9.257500000000002,2.667499999999998,5.222500000000002,1.6725000000000008,3.727500000000001,6.557499999999999
25,1.3730000000000002,4.0680000000000005,6.862999999999999,9.278000000000002,2.687999999999998,5.243000000000001,1.6930000000000005,3.748,6.577999999999999
26,1.3780000000000006,4.073,6.867999999999999,9.283,2.6929999999999983,5.248000000000001,1.6980000000000008,3.753000000000001,6.582999999999998
27,1.4485,4.1435,6.938499999999999,9.3535,2.763499999999998,5.318500000000001,1.7685000000000004,3.8235,6.653499999999998
28,1.4880000000000004,4.183000000000001,6.977999999999999,9.393,2.802999999999998,5.358000000000001,1.8080000000000007,3.863,6.692999999999999
29,1.5800000000000003,4.275,7.069999999999999,9.485,2.8949999999999982,5.450000000000001,1.9000000000000008,3.955000000000001,6.784999999999998
30,1.6740000000000004,4.369000000000001,7.163999999999999,9.579,2.988999999999998,5.544000000000001,1.9940000000000009,4.049,6.878999999999999
31,1.7755,4.4705,7.2654999999999985,9.680500000000002,3.090499999999998,5.645500000000001,2.0955000000000004,4.1505,6.980499999999998
32,1.9405,4.6355,7.4304999999999986,9.8455,3.255499999999998,5.810500000000001,2.2605000000000004,4.3155,7.145499999999998
33,2.0640000000000005,4.759,7.5539999999999985,9.969,3.3789999999999982,5.934000000000001,2.384000000000001,4.439,7.268999999999998
34,2.202500000000001,4.897500000000001,7.692499999999999,10.107500000000002,3.5174999999999983,6.072500000000002,2.522500000000001,4.577500000000001,7.407499999999999
35,2.3465000000000007,5.041500000000001,7.836499999999999,10.251500000000002,3.6614999999999984,6.216500000000002,2.666500000000001,4.721500000000001,7.551499999999999
36,2.436500000000001,5.131500000000001,7.926499999999999,10.341500000000002,3.7514999999999983,6.3065000000000015,2.756500000000001,4.8115000000000006,7.641499999999999
37,2.5135000000000005,5.208500000000001,8.003499999999999,10.418500000000002,3.8284999999999982,6.3835000000000015,2.833500000000001,4.8885000000000005,7.718499999999999
38,2.5725000000000007,5.267500000000001,8.0625,10.477500000000004,3.8874999999999984,6.442500000000002,2.892500000000001,4.947500000000001,7.777499999999999
39,2.5950000000000006,5.290000000000001,8.084999999999999,10.500000000000002,3.9099999999999984,6.465000000000002,2.915000000000001,4.970000000000001,7.799999999999999
40,2.5655,5.2605,8.055499999999999,10.4705,3.880499999999998,6.435500000000001,2.8855000000000004,4.9405,7.770499999999998
41,2.5435000000000008,5.238500000000001,8.0335,10.448500000000005,3.8584999999999994,6.413500000000002,2.863500000000001,4.918500000000001,7.748499999999999
42,2.4780000000000006,5.173000000000001,7.967999999999999,10.383000000000004,3.7929999999999984,6.348000000000002,2.798000000000001,4.853000000000001,7.682999999999999
43,2.3690000000000007,5.064000000000001,7.858999999999999,10.274,3.6839999999999984,6.239000000000002,2.689000000000001,4.744000000000001,7.573999999999999
