,thetaV_sonic1,thetaV_sonic2,thetaV_sonic3,thetaV_sonic4
31,284.0596417010243,284.1856155383999,284.50522434540835,284.8862683640035
32,284.07993985897036,284.2232449520757,284.58192515587115,285.10569806699607
33,284.378215585412,284.51412753216107,284.86598672493795,285.29642571987205
34,284.74048389471227,282.6418739730023,285.2077816743734,283.1335759427735
35,282.75018415767136,282.6562063163633,282.88645466095045,283.1478801101426
36,282.7683655730329,282.6700739907261,282.9025523938906,283.15270701589606
37,282.7703187263284,282.6716513580346,282.8916665354672,283.1542452553243
38,282.56022403853206,282.43639153478057,282.6247880556867,283.1901600481698
39,282.4629317910738,282.32897005045555,282.50850866207315,282.8134237768867
40,282.6204252296292,282.49945715183344,282.6816011848415,282.9297701167698
41,282.48241674522455,282.3538585366758,282.52732255999535,282.8048849713662
42,282.7888492278333,282.67892905665605,282.8593063749442,283.15570376593087
43,282.866465760506,282.75716093782125,282.944618427034,283.22198087900483
44,282.79711058294527,282.69692803613077,282.88393517400175,283.16611343935074
45,282.62778366229503,282.51380438282416,282.6910394084009,283.0283756854274
46,282.48077810862407,282.3597509884205,282.5282618694729,282.9272208591665
47,282.579035340898,282.4711151953614,282.6454365811771,283.0426027061767
48,282.6661100911679,282.5634500869688,282.74415773287944,283.10630544015845
49,282.70171351444407,282.59916883984465,282.78036863643354,283.16232584694365
50,282.6083902251169,282.502521411887,282.6792541227573,283.0760714052169
51,282.4483211305632,282.3467698053903,282.51860743997986,282.9286886453638
52,282.3569296462923,282.25343582609906,282.4200475460308,282.88044355744626
53,282.2974190266752,282.1985751828537,282.36945852667714,282.8110570943446
54,282.1954764994983,282.0895818565995,282.2611283120465,282.6756621039849
55,282.02363544634807,281.8990968933263,282.057347461634,282.5046739296167
56,282.03301694558087,281.88342409467657,282.0381888157823,282.54872520880843
57,281.968000804887,281.79632293517653,281.9480332366837,282.54604659496715
58,282.10192581722004,281.94101958975,282.10700897300717,282.67954308686984
59,282.13283189027806,281.981729563392,282.15135893255126,282.72746930735127
60,282.17434354434727,282.0389054780981,282.2182244695269,282.7777861264342
61,282.10762994378103,281.9845484296925,282.1559952148304,282.89885614758134
62,281.93141343841285,281.80314151017166,281.97257552495734,282.706159110103
63,281.6890108746182,281.53741381489885,281.69774159435093,282.4556669335432
64,281.5178223622909,281.3444997219922,281.50075175238146,282.26427203535667
65,281.4776285957489,281.30725952042604,281.46727279785813,282.2092607432211
66,281.531539805226,281.3664752394114,281.52840654757125,282.2353337357193
67,281.5499305424495,281.38198199319163,281.54463476744314,282.23301327721947
68,281.5306566870328,281.3611022226605,281.5212594821834,282.24352797081366
69,281.821205389681,281.6745032111549,281.8435429456814,282.50909864840855
70,282.1366874200221,282.0107220999039,282.19327416342287,282.84280458884894
71,282.4688195950645,282.36404269248646,282.5544017899088,283.26550239533333
72,282.5732415384136,282.4693807532194,282.6618400148932,283.5051627939397
73,282.3153690411186,282.1882274324899,282.36468692477536,283.2684147403556
74,282.13850482424084,281.9980389299183,282.1695107642151,283.02808515245755
75,282.04243714575836,281.8949302464468,282.0624857049007,282.90113295573815
76,281.9260538874956,281.7748846488213,281.93933938865985,282.78850904041764
